Substance name,EC/List no.,CAS no.,BAS number,Product-type,Review Programme flag,New active substance flag,Annex I substance flag,Inclusion Category,Approval start date,Approval end date,Evaluating competent authority,Approval status,Assessment status,Assessment sub-status,Legal act,Link to legal act,R4BP asset number,Candidate for substitution,Factsheet URL,Related authorised biocidal products,RML ID,Substance information page
"1-[[2-(2,4-dichlorophenyl)-4-propyl-1,3-dioxolan-2-yl]methyl]-1H-1,2,4-triazole (Propiconazole)",262-104-4,60207-90-1,48,PT07-Film preservatives,true,false,false,0,01/12/2016,30/11/2026,Finland,Approved,,,(EU)2015/1609,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32015R1609,EU-0012160-0000,Yes,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/48/PT07,1,100.056.441,https://echa.europa.eu/substance-information/-/substanceinfo/100.056.441
"1-[[2-(2,4-dichlorophenyl)-4-propyl-1,3-dioxolan-2-yl]methyl]-1H-1,2,4-triazole (Propiconazole)",262-104-4,60207-90-1,48,PT08-Wood preservatives,true,false,false,0,01/04/2010,30/11/2030,Finland,Approved,,,Commission Implementing Regulation (EU) 2023/2596,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32023R2596,EU-0005393-0000,Yes,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/48/PT08,980,100.056.441,https://echa.europa.eu/substance-information/-/substanceinfo/100.056.441
"1-[[2-(2,4-dichlorophenyl)-4-propyl-1,3-dioxolan-2-yl]methyl]-1H-1,2,4-triazole (Propiconazole)",262-104-4,60207-90-1,48,"PT09-Fibre, leather, rubber and polymerised materials preservatives",true,false,false,0,01/06/2015,30/11/2030,Finland,Approved,,,Commission Implementing Regulation (EU) 2023/2596,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32023R2596,EU-0005394-0000,Yes,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/48/PT09,0,100.056.441,https://echa.europa.eu/substance-information/-/substanceinfo/100.056.441
"1-ethynyl-2-methylpent-2-enyl 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate (Empenthrin)",259-154-4,54406-48-3,1300,"PT18-Insecticides, acaricides and products to control other arthropods",true,false,false,0,,,Belgium,Not approved,,,Decision (EU) 2018/1251,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32018D1251,-,No,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1300/PT18,0,100.053.759,https://echa.europa.eu/substance-information/-/substanceinfo/100.053.759
1R-trans phenothrin,247-431-2,26046-85-5,59,"PT18-Insecticides, acaricides and products to control other arthropods",true,false,false,0,01/09/2015,29/02/2028,Ireland,Approved,Renewal in progress,Competent authority evaluation,DECISION (EU) 2025/950,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32025D0950,EU-0005409-0000,Yes,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/59/PT18,35,100.043.104,https://echa.europa.eu/substance-information/-/substanceinfo/100.043.104
"2,2-dibromo-2-cyanoacetamide (DBNPA)",233-539-7,10222-01-2,1224,PT02-Disinfectants and algaecides not intended for direct application to humans or animals,true,false,false,0,,,Denmark,No longer supported,,,Commission Implementing Decision (EU) 2024/888 ,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32024D0888,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1224/PT02,0,100.030.477,https://echa.europa.eu/substance-information/-/substanceinfo/100.030.477
"2,2-dibromo-2-cyanoacetamide (DBNPA)",233-539-7,10222-01-2,1224,PT04-Food and feed area,true,false,false,0,,,Denmark,Not approved,,,COMMISSION IMPLEMENTING DECISION (EU) 2023/459,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32023D0459,-,Yes,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1224/PT04,0,100.030.477,https://echa.europa.eu/substance-information/-/substanceinfo/100.030.477
"2,2-dibromo-2-cyanoacetamide (DBNPA)",233-539-7,10222-01-2,1224,PT06-Preservatives for products during storage,true,false,false,0,01/11/2026,31/10/2031,Denmark,Approved,,,COMMISSION IMPLEMENTING REGULATION(EU) 2025/937,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32025R0937,EU-0031627-0000,Yes,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1224/PT06,0,100.030.477,https://echa.europa.eu/substance-information/-/substanceinfo/100.030.477
"2,2-dibromo-2-cyanoacetamide (DBNPA)",233-539-7,10222-01-2,1224,PT11-Preservatives for liquid-cooling and processing systems,true,false,false,0,,,Denmark,,Initial application for approval in progress,Commission decision,,,-,Yes,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1224/PT11,0,100.030.477,https://echa.europa.eu/substance-information/-/substanceinfo/100.030.477
"2,2-dibromo-2-cyanoacetamide (DBNPA)",233-539-7,10222-01-2,1224,PT12-Slimicides,true,false,false,0,,,Denmark,,Initial application for approval in progress,Competent authority evaluation,,,-,Yes,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1224/PT12,0,100.030.477,https://echa.europa.eu/substance-information/-/substanceinfo/100.030.477
