CAS Number,Value,Chemical Name
931-48-6,YES,"Cyclohexane, ethynyl-"
931-48-6,YES,CYCLOHEXYLACETYLENE
931-49-7,YES,"Cyclohexene, 1-ethynyl-"
93-15-2,YES,"BENZENE, 1,2-DIMETHOXY-4-(2-PROPENYL)-"
93-15-2,YES,EUGENYL METHYL ETHER EXTRA
93-15-2,YES,METHYL EUGENOL
931-53-3,YES,"Cyclohexane, isocyano-"
931-53-3,YES,CYCLOHEXYL ISOCYANIDE
93157-09-6,YES,"Benzeneoctanoic acid, .eta.-methoxy-, methyl ester"
93157-09-6,YES,"OCTANECARBOXYLIC ACID, 8-PHENYL-8-METHOXY-"
93-16-3,YES,"BENZENE, 1,2-DIMETHOXY-4-(1-PROPENYL)-"
93-16-3,YES,ISOEUGENOL METHYL ETHER
93-16-3,YES,METHYL ISOEUGENOL
93164-85-3,YES,"AMINES, C20-22-ALKYLDIMETHYL"
93165-26-5,YES,"FATTY ACIDS, C14-26, LEAD SALTS"
93165-30-1,YES,"Fatty acids, palm kernel-oil, hydrogenated, Me esters, sulfonated, sodium salts"
93165-30-1,YES,"FATTY ACIDS, PALM KERNEL-OIL, HYDROGENATED, METHYLESTERS, SULFONATED, SODIUM SALTS"
93165-31-2,YES,"FATTY ACIDS, RAPE-OIL, ERUCIC ACID-LOW"
93165-32-3,YES,"FATTY ACIDS, RAPE OIL, ERUCIC ACID LOW, HYDROGENATED"
93165-32-3,YES,"FATTY ACIDS, RAPE-OIL, ERUCIC ACID-LOW HYDROGENATED"
93165-32-3,YES,"Fatty acids, rape-oil, erucic acid-low, hydrogenated"
93165-40-3,YES,"EXTRACT, FERULA GALBANIFLUA"
93165-40-3,YES,"Ferula galbaniflua, ext."
93-17-4,YES,"Benzeneacetonitrile, 3,4-dimethoxy-"
93-17-4,YES,"PHENYLACETONITRILE, 3,4-DIMETHOXY-"
93-18-5,YES,"NAPHTHALENE, 2-ETHOXY-"
93-18-5,YES,NEROLIN BROMELIA
931-87-3,YES,"Cyclooctene, (1Z)-"
931-87-3,YES,"CYCLOOCTENE, CIS-"
93-19-6,YES,2-ISOBUTYLQUINOLINE
93-19-6,YES,"Quinolene,2-(2-methylpropyl)"
93-19-6,YES,"Quinoline, 2-(2-methylpropyl)-"
93-19-6,YES,"QUINOLINE, 2-ISOBUTYL-"
93-21-0,YES,"Acetic acid, (2-naphthalenylthio)-"
932-16-1,YES,"Ethanone, 1-(1-methyl-1H-pyrrol-2-yl)-"
932-16-1,YES,"PYRROLE, 1-METHYL-2-ACETO-"
932-52-5,YES,"2,4(1H,3H)-Pyrimidinedione, 5-amino-"
932-52-5,YES,"URACIL, 5-AMINO-"
93-25-4,YES,"Benzeneacetic acid, 2-methoxy-"
93-25-4,YES,"PHENYLACETIC ACID, 2-METHOXY-"
93-26-5,YES,"Acetamide, N-(2-methoxyphenyl)-"
93-26-5,YES,o-Acetanisidin
93281-13-1,YES,"2,7-Naphthalenedisulfonic acid, 4-amino-5-hydroxy-, coupled with 3-aminophenol, diazotized 5-amino- 2-[(4-aminophenyl) amino] benzenesulfonic acid, and diazotized benzeneamine, sodium salts"
93281-13-1,YES,"2,7-Naphthalenedisulfonic acid, 4-amino-5-hydroxy-, coupled with 3-aminophenol, diazotized 5-amino-2-[(4-aminophenyl)amino]benzenesulfonic acid and diazotized benzenamine, sodium salts"
932-85-4,YES,"2(3H)-Furanone, 5-ethoxydihydro-"
932-85-4,YES,4-Ethoxy-.gamma.-butyrolactone
93-28-7,YES,"ACETATE, 2-METHOXY-4-(2-PROPENYL)-, PHENYL"
93-28-7,YES,ACETYL EUGENOL
93-28-7,YES,EUGENYL ACETATE
93-28-7,YES,"Phenol, 2-methoxy-4-(2-propenyl)-, acetate"
932-90-1,YES,BENZALDEHYDE OXIME
932-90-1,YES,"Benzaldehyde, oxime"
93-29-8,YES,"ACETATE, 2-METHOXY-4-(1-PROPENYL)-, PHENYL"
93-29-8,YES,ACETYL ISOEUGENOL
93-29-8,YES,"Phenol, 2-methoxy-4-(1-propenyl)-, acetate"
93333-85-8,YES,"Capsicum annuum annuum, longum group, paprika, ext."
93333-85-8,YES,"EXTRACT, CAPSICUM ANNUUM, LONGUM GROUP, PAPRIKA"
93334-05-5,YES,"FATTY ACIDS, MONTAN-WAX, SODIUM SALTS"
93334-14-6,YES,"FATTY ACIDS, TALLOW, MIXED ESTERS WITH DIPENTAERYTHRITOL, GLYCEROL AND PENTAERYTHRITOL"
93334-15-7,YES,"AMMONIUM-METHOSULFATE, N-METHYL-N-(2-HYDROXYETHYL)-N,N-DI- (TALGACYLOXYETHYL)- FATTY ACIDS, TALLOW, REACTION PRODUCTS WITH TRIETHANOLAMINE, DI-ME"
93334-15-7,YES,SULFATE-QUATERNIZED
93334-18-0,YES,"Glycerides, C8-18 mono-, di- and tri-"
93334-18-0,YES,"GLYCERIDES, C8-18, MONO-, DI- AND TRI-"
93334-48-6,YES,"EXTRACT, ROSE, ROSE ALBA"
93334-48-6,YES,"Rose, Rosa alba, ext."
933-48-2,YES,"Cyclohexanol, 3,3,5-trimethyl-, (1R,5R)-rel-"
933-48-2,YES,"CYCLOHEXANOL, 3,3,5-TRIMETHYL-, CIS-"
93348-40-4,YES,"Fats and Glyceridic oils, chicken"
93348-40-4,YES,"OILS, CHICKEN"
93348-49-3,YES,"EXTRACT, PITTOSPORUM VIRIDFLORUM"
93348-49-3,YES,"Pittosporum viridiflorum, ext."
93-35-6,YES,"2H-1-Benzopyran-2-one, 7-hydroxy-"
93-35-6,YES,"COUMARIN, 7-HYDROXY-"
93357-17-6,YES,Amoco 198
93379-48-7,YES,"1,3-Dioxolane-4,5-dimethanol, 2,2-dimethyl-.alpha.,.alpha.,.alpha.',.alpha.'- tetraphenyl-, (4R,5R)-"
93379-48-7,YES,"DIOXOLANE(1,3), 2,2-DIMETHYL-4,5- BIS(DIPHENYLHYDROXYMETHYL), (4R,5R)-(-)- 1,3-Dioxolane-4,5-dimethanol, 2,2-dimethyl-.alpha.,.alpha.,.alpha.',.alpha.'-"
93379-49-8,YES,"tetraphenyl-, (4S,5S)-"
93379-49-8,YES,"DIOXOLANE(1,3), 2,2-DIMETHYL-4,5-BIS (DIPHENYLHYDROXYMETHYL), (4S,5S)-(+)-"
93384-22-6,YES,"Glutens, wheat"
93384-22-6,YES,WHEAT PROTEIN
93384-28-2,YES,"EXTRACT, LOGANBERRY"
93384-28-2,YES,"Loganberry, ext."
93384-32-8,YES,Opopanax (resin)
93384-32-8,YES,"RESIN, OPOPANAX"
93384-40-8,YES,"EXTRACT, SAGE, SALVIA HISPANICA"
93384-40-8,YES,"Sage, Salvia hispanica, ext."
93384-61-3,YES,"BENZENESULFONIC ACID, MONO-C4-16-ALKYL DERIVATIVESAMMONIUM SALTS"
93384-61-3,YES,"Benzenesulfonic acid, mono-C4-16-alkyl derivs., ammonium salts"
933-88-0,YES,"BENZOYL CHLORIDE, 2-METHYL-"
933-88-0,YES,"TOLUOYL CHLORIDE, ORTHO"
933-98-2,YES,"BENZENE, 1,2-DIMETHYL-3-ETHYL-"
933-98-2,YES,"Benzene, 1-ethyl-2,3-dimethyl-"
934-32-7,YES,1H-Benzimidazol-2-amine
934-32-7,YES,"BENZIMIDAZOLE, 2-AMINO-"
93-43-6,YES,"LACTATE, 2-NAPHTHYL"
93-43-6,YES,"Propanoic acid, 2-hydroxy-, 2-naphthalenyl ester"
93455-70-0,YES,Amides tallow
93455-70-0,YES,"Amides, tallow"
93455-77-7,YES,"Fatty acids, C14-18 and C16-18-unsatd., decyl esters"
93455-96-0,YES,"EXTRACT, LAVANDULA HYBRIDA ABRIAL"
93455-96-0,YES,"Lavender, Lavandula hybrida abrial, ext."
93455-97-1,YES,"EXTRACT, LAVANDULA HYBRIDA GROSSO"
93455-97-1,YES,"Lavender, Lavandula hybrida grosso, ext."
93-45-8,YES,2-(4'-Hydroxyphenylamino)-naphthalin
93-45-8,YES,"Phenol, 4-(2-naphthalenylamino)-"
93-46-9,YES,"1,4-Benzenediamine, N,N'-di-2-naphthalenyl-"
93-46-9,YES,"1,4-Benzenediamine,N,N'-di-2-naphthalenyl-"
93-46-9,YES,"BENZENE-1,4-DIAMINE, N,N'-DI-2-NAPHTHALENYL-"
934-80-5,YES,"BENZENE, 1,2-DIMETHYL-4-ETHYL-"
934-80-5,YES,"Benzene, 4-ethyl-1,2-dimethyl-"
934-87-2,YES,"Ethanethioic acid, S-phenyl ester"
934-87-2,YES,Phenyl Thioacetate
93490-30-3,YES,"10-Octadecenoic acid, lithium salt, (E)-"
93490-30-3,YES,"ISOOLEATE, MONOLITHIUM"
93-50-5,YES,"Benzenamine, 4-chloro-2-methoxy-"
93-50-5,YES,CHLOROANISIDINE
93-51-6,YES,2-METHOXY-4-METHYLPHENOL
93-51-6,YES,CREOSOL
93-51-6,YES,"Phenol, 2-methoxy-4-methyl-"
93-53-8,YES,2-PHENYLPROPIONALDEHYDE
93-53-8,YES,"Benzeneacetaldehyde, .alpha.-methyl-"
93-53-8,YES,"PROPANAL, 2-PHENYL-"
93-54-9,YES,"Benzenemethanol, .alpha.-ethyl-"
93-54-9,YES,ETHYL PHENYL CARBINOL
93-54-9,YES,"PROPANOL, 1-PHENYL-"
93-55-0,YES,"1-Propanone, 1-phenyl-"
93-55-0,YES,PROPIOPHENONE
93-56-1,YES,"1,2-Ethanediol, 1-phenyl-"
93-56-1,YES,"ETHANE-1,2-DIOL, 1-PHENYL-"
93-56-1,YES,PHENYLGLYCOL
93572-04-4,YES,"Fatty acids, palm kernel-oil, 2-sulfoethyl esters, sodium salts"
93572-04-4,YES,"FATTY ACIDS, PALM KERNEL-OIL, 2-SULFOETHYL ESTERS,SODIUM SALTS"
93572-41-9,YES,"Linseed oil, reaction products with 1-[[2-[(2-aminoethyl)amino]ethyl]amino]-3- phenoxy-2-propanol, bisphenol A diglycidyl ether, formaldehyde and pentaethylenehexamine"
93572-41-9,YES,"Linseed oil, reaction products with 1-[[2-[(2-aminoethyl)amino]ethyl]amino]-3- phenoxy-2-propanol, bisphenol A diglycidyl ether, formaldehyde and pentaethylenehexamine"
935-79-5,YES,"1,3-Isobenzofurandione, 3a,4,7,7a-tetrahydro-, (3aR,7aS)-rel-"
935-79-5,YES,"PHTHALIC ANHYDRIDE, 1,2,3,6-TETRAHYDRO-, CIS-"
93-58-3,YES,"BENZOATE, METHYL"
93-58-3,YES,"Benzoic acid, methyl ester"
93-58-3,YES,"BENZOIC ACID, METHYLESTER"
93-58-3,YES,Methylbenzoate
93-59-4,YES,BENZENECARBOPEROXOIC ACID
93-60-7,YES,"3-Pyridinecarboxylic acid, methyl ester"
93-60-7,YES,METHYL NICOTINATE
93-60-7,YES,"PYRIDINE-3-CARBOXYLATE, METHYL"
93-61-8,YES,"Formamide, N-methyl-N-phenyl-"
93-61-8,YES,"FORMANILIDE, N-METHYL-"
93-62-9,YES,"GLYCINE, N-(CARBOXYMETHYL)-N-(2-HYDROXYETHYL)-"
936-49-2,YES,"1H-Imidazole, 4,5-dihydro-2-phenyl-"
936-49-2,YES,2-Phenyl-2-imidazoline
936-49-2,YES,"IMIDAZOLINE, 2-PHENYL- 1,3,6-Naphthalenetrisulfonic acid, 7-[[2-[(aminocarbonyl)amino]-4-[(4-amino-6-chloro-"
93658-87-8,YES,"1,3,5-triazin-2-yl)amino]phenyl]azo]-, sodium salt"
936843-30-0,YES,"Oils, Kaempferia galanga"
93-68-5,YES,"Butanamide, N-(2-methylphenyl)-3-oxo-"
93685-34-8,YES,"Aniba rosaeodora amazonica, ext."
93685-34-8,YES,"EXTRACT, ANIBA ROSAEODORA AMAZONICA"
93685-55-3,YES,"Citrus medica acida, ext."
93685-55-3,YES,"EXTRACT, CITRUS MEDICA ACIDA"
93685-68-8,YES,"Fatty acids, coco, Me esters, bisulfited"
93685-68-8,YES,"FATTY ACIDS, COCO, ME-ESTERS, BISULFITED"
93685-71-3,YES,"FATTY ACIDS, LANOLIN, POTASSIUM SALTS"
93685-76-8,YES,"GLYCERIDES, CASTOR-OIL MONO-, HYDROGENATED"
93685-78-0,YES,"Hydrocarbons, C4, 1,3-butadiene-free, polymd., dibutylene fraction, hydrogenated"
93685-79-1,YES,"Hydrocarbons, C4, 1,3-butadiene-free, polymd., pentaisobutylene fraction, hydrogenated"
93685-80-4,YES,"Hydrocarbons, C4, 1,3-butadiene-free, polymd., tetraisobutylene fraction, hydrogenate"
93685-81-5,YES,"Hydrocarbons, C4, 1,3-butadiene-free, polymd., triisobutylene fraction, hydrogenated"
93685-81-5,YES,"POLYMER, HYDROCARBONS, C4, 1,3-BUTADIEN-FREE, TRIISOBUTYLENE FRACTION, HYDROGENATED"
93685-88-2,YES,"EXT., LAVANDULA HYBRIDA BARREME"
93685-88-2,YES,"EXTRACT, LAVENDER, LAVANDULA HYBRIDA BARrEME"
93685-88-2,YES,"Lavender, Lavandula hybrida barreme, ext."
93685-96-2,YES,"EXTRACT, MIMOSA"
93685-96-2,YES,"Mimosa, ext."
93686-22-7,YES,"EXTRACT, TANGOR, MURCOTE"
93686-22-7,YES,"Tangor, Murcote, ext."
93686-30-7,YES,"EXTRACT, YLANG-YLANG, CANANANGA ODORATA MACROPHYLLA"
93686-30-7,YES,"Ylang-ylang, Cananaga odorata macrophylla, ext."
93-69-6,YES,1-ORTHOTOLYLGUANIDINE SALT OF DIACETECHOL BORATE
93-69-6,YES,"IMIDODICARBONIMIDIC DIAMIDE, N-(2-METHYLPHENYL)-"
93-69-6,YES,ORTHO/TOLYL BIGUANIDE
93705-66-9,YES,"Oxirane, 2,2'-[methylenebis[(2,6-dimethyl-4,1-phenylene)oxymethylene]bis- 2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-"
93705-98-7,YES,"heptadecafluorodecyl ester, polymer with methyl 2-methyl-2-propenoate"
93-70-9,YES,Acetessig-o-chloranilid
93-70-9,YES,"Butanamide, N-(2-chlorophenyl)-3-oxo-"
93-70-9,YES,O-CHLOROACETOACETANILIDE
937-13-3,YES,"1,3,5-Triazine-2-carboxylic acid, 1,4,5,6-tetrahydro-4,6-dioxo-"
937-13-3,YES,OXONIC ACID
937-14-4,YES,"Benzenecarboperoxoic acid, 3-chloro-"
937-14-4,YES,"BENZOIC ACID, 3-CHLOROPEROXY-"
93-72-1,YES,"2,4,5-TP"
93-72-1,YES,"Propanoic acid, 2-(2,4,5-trichlorophenoxy)-"
93-72-1,YES,TRICHLOROPHENOXYPROPIONIC ACID
937-30-4,YES,"BENZENE, 1-ACETO-4-ETHYL-"
937-30-4,YES,"Ethanone, 1-(4-ethylphenyl)-"
937-39-3,YES,"ACETOHYDRAZIDE, 2-PHENYL-"
937-39-3,YES,"Benzeneacetic acid, hydrazide"
93762-40-4,YES,"ANTHRANILATE, BARIUM"
93762-40-4,YES,"Benzoic acid, 2-amino-, barium salt (2:1)"
93762-73-3,YES,"Alcohols, C13-15-branched"
93762-73-3,YES,"Alcohols,C13-15-branched"
93762-80-2,YES,"ALKENES, C15-18"
93763-20-3,YES,"Fatty acids, montan-wax, esters with 1,3-butanediol"
93763-20-3,YES,"MONTAN WAX ACIDS, ESTERS OF BUTANEDIOL-1,3"
93763-22-5,YES,"FATTY ACIDS, PALM OIL, HYDROGENATED, SODIUM SALTS"
93763-22-5,YES,"Fatty acids, palm-oil, hydrogenated, sodium salts"
93763-54-3,YES,"Calcium, naphthenate phthalate complexes"
93763-54-3,YES,"COMPLEXES, CALCIUM, NAPHTHALENE PHTHALATE"
93763-70-3,YES,PERLITE
93763-70-3,YES,"Perlite, expanded"
93763-95-2,YES,"EXTRACT, TANGELO"
93763-95-2,YES,"Tangelo, ext."
93764-00-2,YES,"Wool wax, sulfonated, sodium salt"
93764-00-2,YES,"WOOL WAX, SULFONATED, SODIUM SALTS"
937-64-4,YES,"Carbonochloridothioic acid, O-(4-chlorophenyl) ester"
937-64-4,YES,"CHLOROTHIOFORMATE, 4-CHLOROPHENYL"
93776-36-4,YES,"Cobaltate(1-), [2-[[2-(amino-.kappa.N)-1-naphthalenyl]azo-.kappa.N1]-5- nitrophenolato(2-)-.kappa.O][N-(2-chlorophenyl)-2-[[2-(hydroxy-.kappa.O)-5- [(methylamino)sulfonyl]phenyl]azo-.kappa.N1]-3-(oxo-.kappa.O)butanamidato(2-)]-, sodium"
93776-63-7,YES,"ISOHEXADECANOATE, 2-ETHYL-2-[[(1-OXOISOHEXADECYL) OXY]METHYL]-1,3- PROPANEDIYL"
93776-63-7,YES,"Isohexadecanoic acid, 2-ethyl-2-[[(1-oxoisohexadecyl)oxy]methyl]-1,3-propanediyl ester"
93777-41-4,YES,"CYCLOHEXANE, (4-METHOXYBUTYLIDENE)-"
93777-98-1,YES,"SILANEDIAMINE, 1,1-DIMETHYL-N,N'-BIS (1-METHYLPROPYL)-"
93777-98-1,YES,"Silanediamine, 1,1-dimethyl-N,N'-bis(1-methylpropyl)-"
93778-52-0,YES,2-decyltetradecanoic acid
93783-70-1,YES,"1,3,4-Thiadiazolium, 5-[bis(1-methylethyl)amino]-2-[[4-(dimethylamino)phenyl]azo]-3- methyl-, trichlorozincate(1-)"
93803-06-6,YES,"1-Propanaminium, N,N-diethyl-3-[[(heptadecafluorooctyl)sulfonyl]amino]-N-methyl-, iodide"
93803-06-6,YES,"AMMONIUM IODIDE, DIETHYL(3-(((HEPTADECAFLUOROOCTYL)- SULPHONYL)AMINO)PROPYL)METHYL"
93803-52-2,YES,"Glycine, N,N',N''-(nitrilotri-2,1-ethanediyl)tris[N-(carboxymethyl)-, hexasodium salt"
93820-32-7,YES,"NEOUNDECANOATE, ETHENYL"
93820-32-7,YES,"Neoundecanoic acid, ethenyl ester"
93820-33-8,YES,"Isononanamide, N-(2-ethylhexyl)-"
93820-33-8,YES,"isononanamide,N-(2-ethylhexyl)"
93820-55-4,YES,"BENZENESULFONIC ACID, DI(C10-18) ALKYL DERIVATIVE, BARIUM SALTS"
93820-55-4,YES,"Benzenesulfonic acid, di-C10-18-alkyl derivs. barium salts"
93820-57-6,YES,"Benzenesulfonic acid, di-C10-18-alkyl derivs., calcium salts"
93820-57-6,YES,"BENZENESULFONIC ACIDS, DI(C10-18) ALKYL DERIVATIVE CALCIUM SALTS"
93820-59-8,YES,"Benzenesulfonic acid, di-C10-18-alkyl derivs., sodium salts"
93820-59-8,YES,"BENZENESULFONIC ACIDS, DI(C10-18) ALKYL DERIVATIVE, SODIUM SALTS"
93820-81-6,YES,"Hexadecanoic acid, C16-18-alkyl esters"
93820-81-6,YES,"PALMITATE, CETOSTEARYL"
93820-96-3,YES,"Naphthalenesulfonic acid, reaction products with formaldehyde and 4,4'- sulfonylbis[phenol], ammonium salts"
93820-97-4,YES,"Octadecanoic acid, C16-18-alkyl esters"
93820-97-4,YES,"STEARATE, CETOSTEARYL"
93821-11-5,YES,"Alcohols C8-11,br.& lin.,C10 rich"
93821-11-5,YES,"Alcohols, C9-11-branched and linear, C10-rich"
93821-13-7,YES,"ALKENES, (C8-9), HYDROFORMYLATION PRODUCTS, DISTILLATION LIGHTS"
93821-13-7,YES,"Alkenes, C8-9, hydroformylation products, distn. lights"
93821-15-9,YES,"Alkenes, C12-14, hydroformylation products, distn. residues"
93-82-3,YES,"N,N-Bis (2-hydroxyethyl)stearamide"
93-82-3,YES,"N,N-Bis(2-hydroxyethyl)stearmide"
93-82-3,YES,"Octadecanamide, N,N-bis(2-hydroxyethyl)-"
93-82-3,YES,"STEARIC ACID, DIETHANOLAMIDE"
93-83-4,YES,"9-Octadecenamide, N,N-bis(2-hydroxyethyl)-, (9Z)-"
93-83-4,YES,OLEAMIDE DEA
93-83-4,YES,"OLEIC ACID, DIETHANOLAMIDE"
93-83-4,YES,OLEIC DIETHANOLAMIDE
93-83-4,YES,OLEYL BIS(2-HYDROXYETHYL)AMINE
93-83-4,YES,OLEYL DIETHANOLAMIDE
93858-78-7,YES,"1,2,4-Butanetricarboxylic acid, 2-phosphono-, potassium salt"
938-73-8,YES,"Benzamide, 2-ethoxy-"
938-73-8,YES,"BENZAMIDE, ETHOXY-"
93-89-0,YES,"BENZOATE, ETHYL"
93-89-0,YES,"Benzoic acid, ethyl ester"
93892-03-6,YES,"Butanoic acid, 2-methyl-5-(1-methylethenyl)cyclohexyl ester, (1.alpha.,2.beta.,5.alpha.)-"
93892-03-6,YES,Dihydro carvil Butyrate
93892-04-7,YES,"Cyclohexanol, 2-methyl-5-(1-methylethenyl)-, formate, (1.alpha.,2.beta.,5.alpha.)-"
93892-04-7,YES,Dihydro-Carvyl Formate
93892-05-8,YES,"Butanoic acid, 3-methyl-, 2-methyl-5-(1-methylethenyl)cyclohexyl ester, (1.alpha.,2.beta.,5.alpha.)-"
93892-05-8,YES,Dihydrocarvyl iso-Valerate
93892-07-0,YES,Hexanal Dibutyl Acetal
93892-07-0,YES,"Hexane, 1,1-dibutoxy-"
93892-09-2,YES,Hexanal Diisoamyl Acetal
93892-09-2,YES,"Hexane, 1,1-bis(3-methylbutoxy)- 2,7-Naphthalenedisulfonic acid, 5-(benzoylamino)-3-[[2-[4-(1,1-"
93892-28-5,YES,"dimethylpropyl)phenoxy]phenyl]azo]-4-hydroxy-, sodium salt"
93893-89-1,YES,"2-Pentenenitrile, 3-methyl-5-phenyl-"
93893-89-1,YES,"PENT-2-ENENITRILE, 3-METHYL-5-PHENYL- 1,5-Naphthalenedisulfonic acid, 2-[[8-amino-7-[[5-[[4-chloro-6-[[3-[[2-"
93912-64-2,YES,"(sulfooxy)ethyl]sulfonyl]phenyl]amino]-1,3,5-triazin-2-yl]amino]-2-sulfophenyl]azo]-1- hydroxy-3,6-disulfo-2-naphthalenyl]azo]-, hexasodium salt"
93917-75-0,YES,"2-Butanone, O,O'-(diethoxysilylene)dioxime"
93917-75-0,YES,"2-Butanone,O,O'-(diethoxysilylene)dioxime"
93919-01-8,YES,"Octadecanoic acid, 5-methyl-2-(1-methylethyl)cyclohexyl ester"
93919-04-1,YES,"Butanoic acid, 2-methyl-5-(1-methylethenyl)-2-cyclohexen-1-yl ester"
93919-04-1,YES,Carvyl Butyrate
93920-44-6,YES,"Phosphonic acid, [[(phosphonomethyl)imino]bis[2,1- ethanediyl[(phosphonomethyl)imino]-2,1-ethanediylnitrilobis(methylene)]]tetrakis-, heptasodium salt"
939-21-9,YES,3-Phenyl-4-pentenal
939-21-9,YES,"Benzenepropanal, .beta.-ethenyl-"
939-23-1,YES,Phenylpyridin
939-23-1,YES,"Pyridine, 4-phenyl- SPIRO[ISOBENZOFURAN-1(3H), 9'-[9H]XANTHEN]-3-ONE,6'-(DIBUTYLAMINO)-2'-"
93923-69-4,YES,"[(PHENYLMETHYL)AMINO]- Spiro[isobenzofuran-1(3H),9'-[9H]xanthen]-3-one, 6'-(dibutylamino)-2'-"
93923-69-4,YES,[(phenylmethyl)amino]-
93924-10-8,YES,"1-ALKENES, C20-24"
93924-10-8,YES,"Alkenes, C20-24 .alpha.-"
93924-11-9,YES,"1-ALKENES, C24-28"
93924-11-9,YES,"Alkenes, C24-28 .alpha.-"
93924-36-8,YES,"HYDROCARBONS, C6"
93924-37-9,YES,"HYDROCARBONS, C7"
93924-38-0,YES,"HYDROCARBONS, C8"
93924-40-4,YES,"HYDROCARBONS, C9"
93924-41-5,YES,"HYDROCARBONS, C10"
93924-43-7,YES,"HYDROCARBONS, C11"
93924-44-8,YES,"HYDROCARBONS, C12"
93924-46-0,YES,"HYDROCARBONS, C13"
93924-47-1,YES,"HYDROCARBONS, C14"
93924-48-2,YES,"HYDROCARBONS, C15"
93924-49-3,YES,"HYDROCARBONS, C16"
93924-51-7,YES,"HYDROCARBONS, C17"
93924-52-8,YES,"HYDROCARBONS, C18"
93924-53-9,YES,"HYDROCARBONS, C19"
93924-54-0,YES,"HYDROCARBONS, C20"
93924-63-1,YES,"Naphthalenesulfonic acids, reaction products with formaldehyde, ammonium salts"
93924-63-1,YES,"Naphthlenesulfonic acids,reaction products with formaldehyde,ammonium salts"
93924-64-2,YES,"Naphthalenesulfonic acids, reaction products with formaldehyde and sulfonylbis[phenol], sodium salts"
93924-64-2,YES,"Naphthlenesulfonic acids,reaction products with formaldehyde and sulfonylbis[phenol],sodium salts"
93924-92-6,YES,"BRANCHED STEARATE CARBONATE COMPLEXES, CALCIUM"
93924-92-6,YES,"Calcium, branched stearate carbonate complexes"
93-92-5,YES,"ACETATE, STYROLYL"
93-92-5,YES,"Benzenemethanol, .alpha.-methyl-, acetate"
93925-36-1,YES,C12-15 ALCOHOLS LACTATE
93925-36-1,YES,"Propanoic acid, 2-hydroxy-, C12-15-alkyl esters"
93925-42-9,YES,"REACTION PRODUCT, SILICIC ACID, TETRAETHYL ESTER WITH BIS(ACETYLOXY)DIBUTYLSTANNANE"
93925-42-9,YES,"Silicic acid (H4SiO4), tetraethyl ester, reaction products with bis(acetyloxy)dibutylstannane"
93925-42-9,YES,"Silicic acid(H4SiO4), tetraethyl ester, reaction products with bis(acetyloxy) dibutylstannane"
93925-43-0,YES,"Acetic acid, 1'1-(dioctylstannylene)ester, reaction products with Silicic acid (H4SiO4), tetra-Et ester"
93925-45-2,YES,"Silicic acid (H4SiO4), tetrapropyl ester, reaction products with bis(acetyloxy)dibutylstannane"
93925-45-2,YES,"Silicic acid(H4SiO4)tetrapropyl ester,reaction products with bis(acetyloxy)dibutylstannane"
93925-53-2,YES,"PHOSPHORIC ACID, MIXED (1-METHYLETHYL) PHENYL AND PHENYL TRIESTER"
93925-53-2,YES,"Phosphoric acid, mixed (1-methylethyl)phenyl and Ph triesters"
939-27-5,YES,2-Ethylnaphthalene
939-27-5,YES,"Naphthalene, 2-ethyl-"
939402-02-5,YES,"[4-(2-methylbutan-2-yl)phenyl]x [2,4-bis(2-methylbutan-2-yl)]3-x phosphite"
93940-53-5,YES,"Benzoic acid, 2-hydroxy-3-[(4-nitrophenyl)azo]-5-[(5-sulfo-1-naphthalenyl)azo]-, sodium salt"
93940-54-6,YES,"Benzoic acid, 2-hydroxy-3-[(4-nitrophenyl)azo]-5-[(7-sulfo-1-naphthalenyl)azo]-, sodium salt"
93940-59-1,YES,Menthyl Octanoate
93940-59-1,YES,"Octanoic acid, 5-methyl-2-(1-methylethyl)cyclohexyl ester, (1.alpha.,2.beta.,5.alpha.)-"
93940-61-5,YES,Matsutake iso-Butyrate
93940-61-5,YES,"Propanoic acid, 2-methyl-, 1-ethenylhexyl ester"
93940-93-3,YES,"Copper, bis[N-(2-hydroxyethyl)-N-methylglycinato-N,O,ON]-"
93940-93-3,YES,"Copper,bis[NN-(2-hydroxyethyly)-N-methylglycinato-N,O,On]"
93941-62-9,YES,"Propanenitrile, 3-[(6-aminotrimethylhexyl)amino]-"
93941-62-9,YES,"Trimethylhexamethylendiamin,adduct with Propanenitrile"
939-48-0,YES,"BENZOATE, ISOPROPYL"
939-48-0,YES,"Benzoic acid, 1-methylethyl ester"
93952-24-0,YES,C.I. ACID BLUE 349
93952-24-0,YES,"Chromate(3-), bis[6-[(5-chloro-2-hydroxy-4-nitrophenyl)azo]-5-hydroxy-1- naphthalenesulfonato(3-)]-, trisodium"
93952-58-0,YES,1-Methylethyl 1-cyclohexenylacetate
93964-94-4,YES,"Chromate(3-), bis[4-[4,5-dihydro-4-[(2-hydroxy-4-nitrophenyl)azo]-3-methyl-5-oxo-1H- pyrazol-1-yl]benzenesulfonato(3-)]-, trisodium"
93966-52-0,YES,"Formic acid, compd. with 2-[2-[[4-[3-(4-chlorophenyl)-4,5-dihydro-1H-pyrazol-1- yl]phenyl]sulfonyl]ethoxy]-N,N-dimethylethanamine (1:1)"
