Substance name,Description,EC / List no,CAS no,Value,Date of inclusion in the POPs Regulation,POPs Regulation History,POPs Regulation Annex,First published
Pentabromodiphenyl ether (group),,-,-,Yes,24-Aug-2010,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2010.223.01.0029.01.ENG&toc=OJ:L:2010:223:TOC"">Regulation (EU) No 757/2010 of 24 August 2010 amending Regulation (EC) No 850/2004 as regards as Annexes I and III</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex IV",12-Nov-2020
"Diphenyl ether, pentabromo derivative",,251-084-2,32534-81-9,Yes,24-Aug-2010,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2010.223.01.0029.01.ENG&toc=OJ:L:2010:223:TOC"">Regulation (EU) No 757/2010 of 24 August 2010 amending Regulation (EC) No 850/2004 as regards as Annexes I and III</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex IV",12-Nov-2020
"1,3,5-tribromo-2-(3,4-dibromophenoxy)benzene",,620-889-4,189084-66-0,Yes,24-Aug-2010,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2010.223.01.0029.01.ENG&toc=OJ:L:2010:223:TOC"">Regulation (EU) No 757/2010 of 24 August 2010 amending Regulation (EC) No 850/2004 as regards as Annexes I and III</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex IV",12-Nov-2020
"1,2,3-tribromo-4-(2,4-dibromophenoxy)benzene",,621-547-7,182346-21-0,Yes,24-Aug-2010,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2010.223.01.0029.01.ENG&toc=OJ:L:2010:223:TOC"">Regulation (EU) No 757/2010 of 24 August 2010 amending Regulation (EC) No 850/2004 as regards as Annexes I and III</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex IV",12-Nov-2020
Pentachlorophenol and its salts and esters,,-,-,Yes,20-Jun-2019,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.109.01.0006.01.ENG&toc=OJ:L:2019:109:TOC"">Commission Regulation (EU) 2019/636 of 23 April 2019 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/277/oj"">Commission Delegated Regulation (EU) 2021/277 of 16 December 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A",12-Nov-2020
"Acetic acid, 2,2-dichloro-, 2,3,4,5,6-pentachlorophenyl ester",,-,19745-69-8,Yes,20-Jun-2019,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.109.01.0006.01.ENG&toc=OJ:L:2019:109:TOC"">Commission Regulation (EU) 2019/636 of 23 April 2019 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/277/oj"">Commission Delegated Regulation (EU) 2021/277 of 16 December 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A",12-Nov-2020
"Carbonic acid, 1,1-dimethylethyl pentachlorophenyl ester",,677-958-7,18942-25-1,Yes,20-Jun-2019,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.109.01.0006.01.ENG&toc=OJ:L:2019:109:TOC"">Commission Regulation (EU) 2019/636 of 23 April 2019 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/277/oj"">Commission Delegated Regulation (EU) 2021/277 of 16 December 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A",12-Nov-2020
"Acetic acid, 2,2,2-trichloro-, 2,3,4,5,6-pentachlorophenyl ester",,-,2879-60-9,Yes,20-Jun-2019,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.109.01.0006.01.ENG&toc=OJ:L:2019:109:TOC"">Commission Regulation (EU) 2019/636 of 23 April 2019 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/277/oj"">Commission Delegated Regulation (EU) 2021/277 of 16 December 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A",12-Nov-2020
Sodium pentachlorophenolate,,205-025-2,131-52-2,Yes,20-Jun-2019,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.109.01.0006.01.ENG&toc=OJ:L:2019:109:TOC"">Commission Regulation (EU) 2019/636 of 23 April 2019 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/277/oj"">Commission Delegated Regulation (EU) 2021/277 of 16 December 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A",12-Nov-2020
Pentachlorophenol,,201-778-6,87-86-5,Yes,20-Jun-2019,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.109.01.0006.01.ENG&toc=OJ:L:2019:109:TOC"">Commission Regulation (EU) 2019/636 of 23 April 2019 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/277/oj"">Commission Delegated Regulation (EU) 2021/277 of 16 December 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A",12-Nov-2020
Zinc bis(pentachlorophenolate),,220-847-1,2917-32-0,Yes,20-Jun-2019,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.109.01.0006.01.ENG&toc=OJ:L:2019:109:TOC"">Commission Regulation (EU) 2019/636 of 23 April 2019 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/277/oj"">Commission Delegated Regulation (EU) 2021/277 of 16 December 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A",12-Nov-2020
Potassium pentachlorophenolate,,231-911-3,7778-73-6,Yes,20-Jun-2019,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.109.01.0006.01.ENG&toc=OJ:L:2019:109:TOC"">Commission Regulation (EU) 2019/636 of 23 April 2019 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/277/oj"">Commission Delegated Regulation (EU) 2021/277 of 16 December 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A",12-Nov-2020
Pentachlorophenyl laurate,,223-220-0,3772-94-9,Yes,20-Jun-2019,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.109.01.0006.01.ENG&toc=OJ:L:2019:109:TOC"">Commission Regulation (EU) 2019/636 of 23 April 2019 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/277/oj"">Commission Delegated Regulation (EU) 2021/277 of 16 December 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A",12-Nov-2020
Pentachlorophenol esters,,-,-,Yes,20-Jun-2019,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.109.01.0006.01.ENG&toc=OJ:L:2019:109:TOC"">Commission Regulation (EU) 2019/636 of 23 April 2019 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/277/oj"">Commission Delegated Regulation (EU) 2021/277 of 16 December 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A",12-Nov-2020
Pentachlorophenol salts,,-,-,Yes,20-Jun-2019,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.109.01.0006.01.ENG&toc=OJ:L:2019:109:TOC"">Commission Regulation (EU) 2019/636 of 23 April 2019 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/277/oj"">Commission Delegated Regulation (EU) 2021/277 of 16 December 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A",12-Nov-2020
Pentachlorophenyl N-[[(4-methoxyphenyl)methoxy]carbonyl]-L-serinate,,245-508-5,23234-97-1,Yes,20-Jun-2019,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.109.01.0006.01.ENG&toc=OJ:L:2019:109:TOC"">Commission Regulation (EU) 2019/636 of 23 April 2019 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/277/oj"">Commission Delegated Regulation (EU) 2021/277 of 16 December 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A",12-Nov-2020
Perchlorophenyl 5-oxo-L-prolinate,,249-360-2,28990-85-4,Yes,20-Jun-2019,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.109.01.0006.01.ENG&toc=OJ:L:2019:109:TOC"">Commission Regulation (EU) 2019/636 of 23 April 2019 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/277/oj"">Commission Delegated Regulation (EU) 2021/277 of 16 December 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A",12-Nov-2020
Perchlorophenyl S-benzyl-N-(benzyloxycarbonyl)-L-cysteinate,,237-157-1,13673-54-6,Yes,20-Jun-2019,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.109.01.0006.01.ENG&toc=OJ:L:2019:109:TOC"">Commission Regulation (EU) 2019/636 of 23 April 2019 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/277/oj"">Commission Delegated Regulation (EU) 2021/277 of 16 December 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A",12-Nov-2020
N2-benzyl pentachlorophenyl N2-carboxy-L-(2-aminoglutaramate),,237-155-0,13673-51-3,Yes,20-Jun-2019,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.109.01.0006.01.ENG&toc=OJ:L:2019:109:TOC"">Commission Regulation (EU) 2019/636 of 23 April 2019 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/277/oj"">Commission Delegated Regulation (EU) 2021/277 of 16 December 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A",12-Nov-2020
Perchlorophenyl N-(benzyloxycarbonyl)-L-isoleucinate,,237-156-6,13673-53-5,Yes,20-Jun-2019,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.109.01.0006.01.ENG&toc=OJ:L:2019:109:TOC"">Commission Regulation (EU) 2019/636 of 23 April 2019 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/277/oj"">Commission Delegated Regulation (EU) 2021/277 of 16 December 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A",12-Nov-2020
"Perfluorohexane-1-sulphonic acid, its salts and related substances",,-,-,Yes,29-Dec-2022,"<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/1608/oj"">Commission Delegated Regulation (EU) 2023/1608 of 30 May 2023 amending Annex I to Regulation (EU) 2019/1021 as regards the listing of perfluorohexane sulfonic acid (PFHxS), its salts and PFHxS-related compounds</a>","Annex I, part A#Annex IV",23-Jan-2023
Perfluorohexane-1-sulphonic acid,,206-587-1,355-46-4,Yes,29-Dec-2022,"<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/1608/oj"">Commission Delegated Regulation (EU) 2023/1608 of 30 May 2023 amending Annex I to Regulation (EU) 2019/1021 as regards the listing of perfluorohexane sulfonic acid (PFHxS), its salts and PFHxS-related compounds</a>","Annex I, part A#Annex IV",23-Jan-2023
"Sulfonium, [4-[(2-methyl-1-oxo-2-propenyl)oxy]phenyl]diphenyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid (1:1), polymer with 2-ethyltricyclo[3.3.1.13,7]dec-2-yl 2-methyl-2-propenoate, 3-hydroxytricyclo[3.3.1.13,7]dec-1-yl 2-methyl-2-propenoate and tetrahydro-2-oxo-3-furanyl 2-methyl-2-propenoate",,-,911027-69-5,Yes,29-Dec-2022,"<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/1608/oj"">Commission Delegated Regulation (EU) 2023/1608 of 30 May 2023 amending Annex I to Regulation (EU) 2019/1021 as regards the listing of perfluorohexane sulfonic acid (PFHxS), its salts and PFHxS-related compounds</a>","Annex I, part A#Annex IV",23-Jan-2023
