NO,CAS No.,Value,Chemical Name,KE No.,Toxic substances,Substances requiring preparation for accidents,Restricted substances,Prohibited substances,Permitted substances,Substances subject to intensive control,Persistent pollutants,Percentage & Regulatory Information,Legacy_yn
246,61901-11-9,YES,C.I. acid black 187,KE-06315,,,,,,,,,
247,,YES,C.I. acid black 185,KE-06314,,,,,,,,,
248,,YES,C.I. acid black 184,KE-06313,,,,,,,,,
249,,YES,C.I. acid black 182,KE-06312,,,,,,,,,
250,,YES,C.I. acid black 177,KE-06311,,,,,,,,,
251,,YES,C.I. acid black 174,KE-06310,,,,,,,,,
252,61967-86-0,YES,C.I. acid black 173,KE-06309,,,,,,,,,
253,61847-77-6,YES,C.I. acid black 172,KE-06308,,,,,,,,,
254,,YES,C.I. acid black 170,KE-06307,,,,,,,,,
255,12219-09-9,YES,C.I. acid black 155,KE-06306,,,,,,,,,
256,12219-04-4,YES,C.I. acid black 140,KE-06305,,,,,,,,,
257,61723-89-5,YES,C.I. acid black 139,KE-06304,,,,,,,,,
258,,YES,C.I. acid black 138,KE-06303,,,,,,,,,
259,12219-02-2,YES,C.I. acid black 132,KE-06302,,,,,,,,,
260,,YES,C.I. acid black 119,KE-06301,,,,,,,,,
261,,YES,C.I. acid black 116,KE-06300,,,,,,,,,
262,12238-50-5,YES,C.I. acid black 112,KE-06299,,,,,,,,,
263,,YES,C.I. acid black 109,KE-06298,,,,,,,,,
264,12218-96-1,YES,C.I. acid black 107,KE-06297,,,,,,,,,
265,6408-22-6,YES,C.I. acid black 084,KE-06295,,,,,,,,,
266,,YES,C.I. acid black 083,KE-06294,,,,,,,,,
267,6408-06-6,YES,C.I. acid black 082,KE-06293,,,,,,,,,
268,,YES,C.I. acid black 077,KE-06292,,,,,,,,,
269,12217-16-2,YES,C.I. acid black 076,KE-06291,,,,,,,,,
270,,YES,C.I. acid black 075,KE-06290,,,,,,,,,
271,,YES,C.I. acid black 072,KE-06289,,,,,,,,,
272,127830-14-2,YES,C.I. acid black 071,KE-06288,,,,,,,,,
273,,YES,C.I. acid black 069,KE-06287,,,,,,,,,
274,,YES,C.I. acid black 065,KE-06286,,,,,,,,,
275,32517-36-5,YES,C.I. acid black 063,KE-06285,,,,,,,,,
276,,YES,C.I. acid black 060,KE-06284,,,,,,,,,
277,12218-94-9,YES,C.I. acid black 058,KE-06283,,,,,,,,,
278,,YES,C.I. acid black 055,KE-06282,,,,,,,,,
279,,YES,C.I. acid black 052:1,KE-06281,,,,,,,,,
280,5610-64-0,YES,C.I. acid black 052,KE-06280,,,,,,,,,
281,,YES,C.I. acid blue 245,KE-06429,,,,,,,,,
282,,YES,C.I. acid blue 243,KE-06428,,,,,,,,,
283,,YES,C.I. acid blue 239,KE-06427,,,,,,,,,
284,,YES,C.I. acid blue 234,KE-06426,,,,,,,,,
285,,YES,C.I. acid blue 232,KE-06425,,,,,,,,,
286,12269-82-8,YES,C.I. acid blue 230,KE-06424,,,,,,,,,
287,12219-36-2,YES,C.I. acid blue 229,KE-06423,,,,,,,,,
288,,YES,C.I. acid blue 227,KE-06422,,,,,,,,,
289,,YES,C.I. acid blue 225,KE-06421,,,,,,,,,
290,,YES,C.I. acid blue 224,KE-06420,,,,,,,,,
291,,YES,C.I. acid blue 221,KE-06419,,,,,,,,,
292,,YES,C.I. acid blue 220,KE-06418,,,,,,,,,
293,,YES,C.I. acid blue 214,KE-06417,,,,,,,,,
294,12219-30-6,YES,C.I. acid blue 213,KE-06416,,,,,,,,,
295,,YES,C.I. acid blue 209,KE-06415,,,,,,,,,
296,,YES,C.I. acid blue 207,KE-06414,,,,,,,,,
297,,YES,C.I. acid blue 205,KE-06413,,,,,,,,,
298,61724-00-3,YES,C.I. acid blue 204,KE-06412,,,,,,,,,
299,,YES,C.I. acid blue 203,KE-06411,,,,,,,,,
300,,YES,C.I. acid blue 201,KE-06410,,,,,,,,,
301,,YES,C.I. acid blue 199,KE-06409,,,,,,,,,
302,,YES,C.I. acid blue 198,KE-06408,,,,,,,,,
303,12392-64-2,YES,C.I. acid blue 193,KE-06407,,,,,,,,,
304,,YES,C.I. acid blue 190,KE-06406,,,,,,,,,
305,,YES,C.I. acid blue 188,KE-06405,,,,,,,,,
306,,YES,C.I. acid blue 185,KE-06404,,,,,,,,,
307,12217-22-0,YES,C.I. acid blue 183,KE-06403,,,,,,,,,
308,12219-26-0,YES,C.I. acid blue 182,KE-06402,,,,,,,,,
309,,YES,C.I. acid blue 177,KE-06401,,,,,,,,,
310,,YES,C.I. acid blue 175,KE-06400,,,,,,,,,
311,,YES,C.I. acid blue 172,KE-06399,,,,,,,,,
312,51053-44-2,YES,C.I. acid blue 171,KE-06398,,,,,,,,,
313,,YES,C.I. acid blue 160,KE-06397,,,,,,,,,
314,,YES,C.I. acid blue 159,KE-06396,,,,,,,,,
315,6370-08-7,YES,C.I. acid blue 158,KE-06395,,,,,,,,,
316,,YES,C.I. acid blue 157,KE-06394,,,,,,,,,
317,,YES,C.I. acid blue 156,KE-06393,,,,,,,,,
318,,YES,C.I. acid blue 142,KE-06392,,,,,,,,,
319,,YES,C.I. acid blue 140,KE-06391,,,,,,,,,
320,,YES,C.I. acid blue 139,KE-06390,,,,,,,,,
321,1324-53-4,YES,C.I. acid blue 138,KE-06389,,,,,,,,,
322,,YES,C.I. acid blue 134,KE-06388,,,,,,,,,
323,,YES,C.I. acid blue 133,KE-06387,,,,,,,,,
324,6397-02-0,YES,C.I. acid blue 129,KE-06386,,,,,,,,,
325,,YES,C.I. acid blue 127:1,KE-06385,,,,,,,,,
326,6471-01-8,YES,C.I. acid blue 127,KE-06384,,,,,,,,,
327,,YES,C.I. acid blue 126,KE-06383,,,,,,,,,
328,,YES,C.I. acid blue 124,KE-06382,,,,,,,,,
329,6661-40-1,YES,C.I. acid blue 123,KE-06381,,,,,,,,,
330,,YES,C.I. acid blue 122,KE-06380,,,,,,,,,
331,,YES,C.I. acid blue 120,KE-06379,,,,,,,,,
332,,YES,C.I. acid blue 119,KE-06378,,,,,,,,,
333,,YES,C.I. acid blue 116,KE-06377,,,,,,,,,
334,3351-05-1,YES,C.I. acid blue 113,KE-06376,,,,,,,,,
335,,YES,C.I. acid blue 112,KE-06375,,,,,,,,,
336,,YES,C.I. acid blue 106,KE-06374,,,,,,,,,
337,6505-30-2,YES,C.I. acid blue 104,KE-06373,,,,,,,,,
338,6483-73-4,YES,C.I. acid blue 103,KE-06372,,,,,,,,,
339,6856-08-2,YES,C.I. acid blue 102,KE-06371,,,,,,,,,
340,28983-56-4,YES,C.I. acid blue 093,KE-06370,,,,,,,,,
341,,YES,C.I. acid blue 092:1,KE-06369,,,,,,,,,
342,6104-58-1,YES,C.I. acid blue 090,KE-06368,,,,,,,,,
343,,YES,C.I. acid blue 086,KE-06367,,,,,,,,,
344,6104-59-2,YES,C.I. acid blue 083,KE-06366,,,,,,,,,
345,,YES,C.I. acid blue 082,KE-06365,,,,,,,,,
346,4474-24-2,YES,C.I. acid blue 080,KE-06364,,,,,,,,,
347,6424-75-5,YES,C.I. acid blue 078,KE-06363,,,,,,,,,
348,12219-17-9,YES,C.I. acid blue 072,KE-06362,,,,,,,,,
349,4368-56-3,YES,C.I. acid blue 062,KE-06361,,,,,,,,,
350,,YES,C.I. acid blue 061:1,KE-06360,,,,,,,,,
351,6837-47-4,YES,C.I. acid blue 061,KE-06359,,,,,,,,,
352,,YES,C.I. acid blue 059,KE-06358,,,,,,,,,
353,,YES,C.I. acid blue 058,KE-06357,,,,,,,,,
354,61752-67-8,YES,C.I. acid blue 052,KE-06356,,,,,,,,,
355,,YES,C.I. acid blue 050,KE-06355,,,,,,,,,
356,61724-11-6,YES,C.I. acid brown 106,KE-06504,,,,,,,,,
357,8003-78-9,YES,C.I. acid brown 105,KE-06503,,,,,,,,,
358,61724-10-5,YES,C.I. acid brown 104,KE-06502,,,,,,,,,
359,6797-90-6,YES,C.I. acid brown 103,KE-06501,,,,,,,,,
360,6409-09-2,YES,C.I. acid brown 102,KE-06500,,,,,,,,,
361,61724-09-2,YES,C.I. acid brown 101,KE-06499,,,,,,,,,
362,61724-08-1,YES,C.I. acid brown 100,KE-06498,,,,,,,,,
363,12269-88-4,YES,C.I. acid brown 098,KE-06497,,,,,,,,,
364,,YES,C.I. acid brown 097,KE-06496,,,,,,,,,
365,,YES,C.I. acid brown 095,KE-06495,,,,,,,,,
366,,YES,C.I. acid brown 092,KE-06494,,,,,,,,,
367,,YES,C.I. acid brown 085,KE-06493,,,,,,,,,
368,,YES,C.I. acid brown 084,KE-06492,,,,,,,,,
369,13011-68-2,YES,C.I. acid brown 083,KE-06491,,,,,,,,,
370,,YES,C.I. acid brown 080,KE-06490,,,,,,,,,
371,,YES,C.I. acid brown 078,KE-06489,,,,,,,,,
372,,YES,C.I. acid brown 077,KE-06488,,,,,,,,,
373,8011-86-7,YES,C.I. acid brown 075,KE-06487,,,,,,,,,
374,,YES,C.I. acid brown 074,KE-06486,,,,,,,,,
375,,YES,C.I. acid brown 073,KE-06485,,,,,,,,,
376,,YES,C.I. acid brown 072,KE-06484,,,,,,,,,
377,,YES,C.I. acid brown 070,KE-06483,,,,,,,,,
378,,YES,C.I. acid brown 068,KE-06482,,,,,,,,,
379,,YES,C.I. acid brown 060,KE-06481,,,,,,,,,
380,,YES,C.I. acid brown 058,KE-06480,,,,,,,,,
381,,YES,C.I. acid brown 052,KE-06479,,,,,,,,,
382,11075-38-0,YES,C.I. acid brown 050,KE-06478,,,,,,,,,
383,,YES,C.I. acid brown 046,KE-06477,,,,,,,,,
384,12238-96-9,YES,C.I. acid brown 044,KE-06476,,,,,,,,,
385,,YES,C.I. acid brown 043,KE-06475,,,,,,,,,
386,,YES,C.I. acid brown 036,KE-06474,,,,,,,,,
387,,YES,C.I. acid brown 035,KE-06473,,,,,,,,,
388,,YES,C.I. acid brown 033,KE-06472,,,,,,,,,
389,,YES,C.I. acid brown 029,KE-06471,,,,,,,,,
390,,YES,C.I. acid brown 028,KE-06470,,,,,,,,,
391,,YES,C.I. acid brown 023,KE-06469,,,,,,,,,
392,12234-73-0,YES,C.I. acid brown 019,KE-06468,,,,,,,,,
393,,YES,C.I. acid brown 016,KE-06467,,,,,,,,,
394,,YES,C.I. acid brown 015,KE-06466,,,,,,,,,
395,5850-16-8,YES,C.I. acid brown 014,KE-06465,,,,,,,,,
396,12219-52-2,YES,C.I. acid brown 011,KE-06464,,,,,,,,,
397,12234-72-9,YES,C.I. acid brown 010,KE-06463,,,,,,,,,
398,6407-85-8,YES,C.I. acid brown 008,KE-06462,,,,,,,,,
399,,YES,C.I. acid brown 004,KE-06461,,,,,,,,,
400,3626-41-3,YES,C.I. acid brown 002,KE-06460,,,,,,,,,
401,,YES,C.I. acid blue 361,KE-06459,,,,,,,,,
402,,YES,C.I. acid blue 351,KE-06458,,,,,,,,,
403,,YES,C.I. acid blue 350,KE-06457,,,,,,,,,
404,,YES,C.I. acid blue 349,KE-06456,,,,,,,,,
405,,YES,C.I. acid blue 348,KE-06455,,,,,,,,,
406,,YES,C.I. acid blue 342,KE-06454,,,,,,,,,
407,,YES,C.I. acid blue 335,KE-06453,,,,,,,,,
408,,YES,C.I. acid blue 327,KE-06452,,,,,,,,,
409,,YES,C.I. acid blue 324:1,KE-06451,,,,,,,,,
410,,YES,C.I. acid blue 324,KE-06450,,,,,,,,,
411,,YES,C.I. acid blue 317,KE-06449,,,,,,,,,
412,,YES,C.I. acid blue 314,KE-06448,,,,,,,,,
413,,YES,C.I. acid blue 312,KE-06447,,,,,,,,,
414,61967-96-2,YES,C.I. acid blue 296,KE-06446,,,,,,,,,
415,,YES,C.I. acid blue 295,KE-06445,,,,,,,,,
416,39280-53-0,YES,C.I. acid blue 290,KE-06444,,,,,,,,,
417,,YES,C.I. acid blue 288,KE-06443,,,,,,,,,
418,,YES,C.I. acid blue 286,KE-06442,,,,,,,,,
419,61814-66-2,YES,C.I. acid blue 284,KE-06441,,,,,,,,,
420,,YES,C.I. acid blue 280,KE-06440,,,,,,,,,
421,,YES,C.I. acid blue 279,KE-06439,,,,,,,,,
422,,YES,C.I. acid blue 278,KE-06438,,,,,,,,,
423,,YES,C.I. acid blue 277,KE-06437,,,,,,,,,
424,,YES,C.I. acid blue 274,KE-06436,,,,,,,,,
425,,YES,C.I. acid blue 265,KE-06435,,,,,,,,,
426,,YES,C.I. acid blue 264,KE-06434,,,,,,,,,
427,,YES,C.I. acid blue 260,KE-06433,,,,,,,,,
428,,YES,C.I. acid blue 258,KE-06432,,,,,,,,,
429,,YES,C.I. acid blue 254,KE-06431,,,,,,,,,
430,,YES,C.I. acid blue 247,KE-06430,,,,,,,,,
431,,YES,C.I. acid brown 390,KE-06581,,,,,,,,,
432,,YES,C.I. acid brown 387,KE-06580,,,,,,,,,
433,,YES,C.I. acid brown 384,KE-06579,,,,,,,,,
434,,YES,C.I. acid brown 383,KE-06578,,,,,,,,,
435,,YES,C.I. acid brown 382,KE-06577,,,,,,,,,
436,,YES,C.I. acid brown 381,KE-06576,,,,,,,,,
437,,YES,C.I. acid brown 380,KE-06575,,,,,,,,,
438,,YES,C.I. acid brown 379,KE-06574,,,,,,,,,
439,,YES,C.I. acid brown 373,KE-06573,,,,,,,,,
440,,YES,C.I. acid brown 369,KE-06572,,,,,,,,,
441,,YES,C.I. acid brown 367,KE-06571,,,,,,,,,
442,63641-88-3,YES,C.I. acid brown 365,KE-06570,,,,,,,,,
443,61931-13-3,YES,C.I. acid brown 362,KE-06569,,,,,,,,,
444,61931-12-2,YES,C.I. acid brown 361,KE-06568,,,,,,,,,
445,61814-55-9,YES,C.I. acid brown 360,KE-06567,,,,,,,,,
446,61967-99-5,YES,C.I. acid brown 359,KE-06566,,,,,,,,,
447,61967-98-4,YES,C.I. acid brown 358,KE-06565,,,,,,,,,
448,61814-63-9,YES,C.I. acid brown 357,KE-06564,,,,,,,,,
449,,YES,C.I. acid brown 355,KE-06563,,,,,,,,,
450,72827-73-7,YES,C.I. acid brown 349,KE-06562,,,,,,,,,
451,,YES,C.I. acid brown 348,KE-06561,,,,,,,,,
452,70620-32-5,YES,C.I. acid brown 345,KE-06560,,,,,,,,,
453,,YES,C.I. acid brown 343,KE-06559,,,,,,,,,
454,,YES,C.I. acid brown 342,KE-06558,,,,,,,,,
455,,YES,C.I. acid brown 341,KE-06557,,,,,,,,,
456,,YES,C.I. acid brown 332,KE-06556,,,,,,,,,
457,61867-75-2,YES,C.I. acid brown 331,KE-06555,,,,,,,,,
458,61724-25-2,YES,C.I. acid brown 330,KE-06554,,,,,,,,,
459,76416-01-8,YES,C.I. acid brown 328,KE-06553,,,,,,,,,
460,,YES,C.I. acid brown 326,KE-06552,,,,,,,,,
461,61967-97-3,YES,C.I. acid brown 325,KE-06551,,,,,,,,,
462,,YES,C.I. acid brown 324,KE-06550,,,,,,,,,
463,61931-11-1,YES,C.I. acid brown 322,KE-06549,,,,,,,,,
464,,YES,C.I. acid brown 321,KE-06548,,,,,,,,,
465,,YES,C.I. acid brown 320,KE-06547,,,,,,,,,
466,,YES,C.I. acid brown 315,KE-06546,,,,,,,,,
467,12219-81-7,YES,C.I. acid brown 314,KE-06545,,,,,,,,,
468,,YES,C.I. acid brown 311,KE-06544,,,,,,,,,
469,,YES,C.I. acid brown 298,KE-06543,,,,,,,,,
470,1333-82-0,YES,Chromic anhydride,KE-06020,97-1-94,,,,06-5-10,별표-196,,유독물질 : 무수 크롬산 및 이를 0.1% 이상 함유한 혼합물 / 제한물질 : 크로뮴(6+)화합물[Chromium(6+) compounds; 18540-29-9] 및 이를 0.1% 이상 함유한  혼합물,
471,13548-38-4,YES,Chromium trinitrate,KE-06019,,,,,,,,,
472,7788-97-8,YES,Chromium trifluoride,KE-06018,,,,,,,,,
473,10025-73-7,YES,Chromium trichloride,KE-06017,,,,,,,,,
474,10031-25-1,YES,Chromium tribromide,KE-06016,,,,,,,,,
475,69011-08-1,YES,Chromium titanium antimonate oxide (CrTi10(SbO3)O20),KE-06015,97-1-176,,,,,,,"유독물질 : 무기 안티몬 화합물 및 이를 1% 이상 함유한 혼합물. 다만, 산화 안티몬(Antimony(Ⅴ) pentoxide, Antimony(Ⅳ) tetroxide), 황화안티몬(Antimony(Ⅴ) pentasulfide, Antimony(Ⅲ) trisulfide), 안티몬산(HSbO3) 염류(Antimonic(Ⅴ) acid, salts), 피그먼트 브라운 24(C.I. Pigment Brown 24), 피그먼트 옐로우 53 (C.I. Pigment Yellow 53) 및 이를 함유한 혼합물과 산화안티몬(Antimony(Ⅲ) trioxide)을 함유한 혼합물은 제외",
476,12053-39-3,YES,Chromium telluride (Cr2Te3),KE-06014,,,,,,,,,
477,36221-65-5,YES,Chromium(3+) sodium disulfate,KE-06013,,,,,,,,,
478,,YES,"Chromium (or Sn), tributyl(ethyl 3oxobutyratoO1,O3)",KE-06012,,,,,,,,,
479,12018-08-5,YES,Chromium silicide,KE-06011,,,,,,,,,
480,12053-13-3,YES,Chromium selenide,KE-06010,97-1-134,,,,,,,"유독물질 : 셀레늄[Selenium; 7782-49-2] 또는 그 화합물과 이를 1% 이상 함유한 혼합물. 다만, 셀레늄, 카드뮴 설포셀레나이드 오렌지[Cadmium sulfoselenide orange; 12656-57-4], 카드뮴 설포셀레나이드 레드[Cadmium sulfoselenide red; 58339-34-7]의 경우는 이를 25% 미만 함유한 것은 제외",
481,10141-00-1,YES,Chromium potassium bis(sulfate),KE-06009,,,,,,,,,
482,26342-61-0,YES,Chromium phosphide (CrP),KE-06008,,,,,,,,,
483,21679-31-2,YES,Chromium(3+) 4oxopent2ene2olate,KE-06007,,,,,,,,,
484,7789-04-0,YES,Chromium orthophosphate,KE-06006,,,,,,,,,
485,,YES,Chromium oxy complex salt,KE-06005,,,,,,,,,
486,11118-57-3,YES,Chromium oxide,KE-06004,97-1-271,,,,06-5-10,별표-331,,유독물질 : 크롬산[Chromic acid; 7738-94-5]과 그 염류 및 이를 0.1% 이상 함유한 혼합물 / 제한물질 : 크로뮴(6+)화합물[Chromium(6+) compounds; 18540-29-9] 및 이를 0.1% 이상 함유한  혼합물,
487,69011-85-4,YES,"Chromium ores, sintered",KE-06003,,,,,,,,,
488,12053-27-9,YES,Chromium nitride (Cr2N),KE-06002,,,,,,,,,
489,12006-79-0,YES,Chromium monoboride,KE-06001,,,,,,,,,
490,28155-72-8,YES,Chromium(3+) lithium(1+) silicate (1:1:2),KE-06000,,,,,,,,,
491,12017-94-6,YES,Chromium lanthanum trioxide,KE-05999,,,,,,,,,
492,12737-27-8,YES,Chromium iron oxide,KE-05998,,,,,,,,,
493,13569-75-0,YES,Chromium iodide (CrI3),KE-05997,,,,,,,,,
494,114959-48-7,YES,"Chromium, hydroxybis(2hydroxybenzoatoO1,O2), ar,ar'dialkyl(C=1418) derivs.",KE-05996,,,,,,,,,
495,129039-96-9,YES,Chromium hydroxide sulfate; Basic chromium sulphate,KE-05995,,,,,,,,,
496,68475-49-0,YES,Chromium hydroxide oxide silicate,KE-05994,,,,,,,,,
497,20770-05-2,YES,Chromium hydroxide oxide (Cr(OH)O),KE-05993,,,,,,,,,
498,12626-43-6,YES,Chromium hydroxide,KE-05992,,,,,,,,,
499,68239-51-0,YES,Chromium(3+) hexafluorosilicate(2),KE-05991,97-1-376,,,,,,,"유독물질 : 플루오로규산[Fluorosilicic acid; 16961-83-4]과 그 염류 및 그 중 하나를 1% 이상 함유한 혼합물. 다만 나트륨, 칼륨 및 마그네슘 염류(16893-85-9, 16871-90-2, 16949-65-8)의 경우 이를 25% 미만 함유한 것은 제외",
500,13007-92-6,YES,Chromium hexacarbonyl; Chromium carbonyl,KE-05990,,,,,,,,,
501,97862-14-1,YES,"Chromium, formate hydroxy sulfate complexes",KE-05989,,,,,,,,,
502,12018-09-6,YES,Chromium disilicide,KE-05988,,,,,,,,,
503,12018-01-8,YES,Chromium dioxide,KE-05987,,,,,,,,,
504,10049-10-2,YES,Chromium difluoride,KE-05986,,,,,,,,,
505,10049-05-5,YES,Chromium dichloride,KE-05985,,,,,,,,,
506,12007-16-8,YES,Chromium diboride,KE-05984,,,,,,,,,
507,1336-14-7,YES,Chromium copper zinc oxide,KE-05983,97-1-271,,,,06-5-10,별표-198,,유독물질 : 크롬산[Chromic acid; 7738-94-5]과 그 염류 및 이를 0.1% 이상 함유한 혼합물 / 제한물질 : 크로뮴(6+)화합물[Chromium(6+) compounds; 18540-29-9] 및 이를 0.1% 이상 함유한  혼합물,
508,11104-65-7,YES,Chromium copper oxide,KE-05982,,,,,,,,,
509,67181-98-0,YES,Copper chromium manganese oxide,KE-05981,,,,,,,,,
510,12017-79-7,YES,Chromium copper dioxide,KE-05980,,,,,,,,,
511,37382-24-4,YES,Chromium cobalt oxide,KE-05979,,,,,,,,,
512,15659-56-0,YES,Chromium chloride hydroxide tetradecanoate (2:4:1:1),KE-05978,,,,,,,,,
513,50925-66-1,YES,"Chromium chloride, basic",KE-05977,,,,,,,,,
514,29689-14-3,YES,Chromium carbonate,KE-05976,,,,,,,,,
515,12105-81-6,YES,Chromium carbide,KE-05975,,,,,,,,,
516,12653-55-3,YES,Chromium boride,KE-05974,,,,,,,,,
517,12016-69-2,YES,Cobalt dichromium tetraoxide,KE-06096,,,,,,,,,
518,7646-79-9,YES,Cobalt dichloride,KE-06095,2021-1-1013,,,,,별표-257,,유독물질 : 염화코발트[Cobalt chloride; 7646-79-9] 및 이를 0.1% 이상 함유한 혼합물,
519,7789-43-7,YES,Cobalt dibromide,KE-06094,,,,,,,,,
520,14732-58-2,YES,Cobalt(2+) dibromate,KE-06093,,,,,,,,,
521,542-84-7,YES,Cobalt cyanide (Co(CN)2),KE-06092,97-1-90,,,,,,,"유독물질 : 무기시안 화합물 및 이를 1% 이상 함유한 혼합물. 다만, 베를린청(Ferric ferrocyanide), 페로시안염(Ferrocyanide, salts), 페리시안염(Ferricyanide, salts) 및 그 중 하나를 함유한 혼합물은 제외",
522,12052-70-9,YES,Cobalt compound with yttrium (7:2),KE-06091,,,,,,,,,
523,12052-62-9,YES,Cobalt compound with yttrium (3:1),KE-06090,,,,,,,,,
524,12052-78-7,YES,Cobalt compound with samarium (17:2),KE-06089,,,,,,,,,
525,27441-70-9,YES,"2-[[4-[3-(4-Chlorophenyl)-4,5-dihydro-1H-pyrazol-1-yl]phenyl]sulfonylethanesulfonic acid sodium salt",KE-05826,,,,,,,,,
526,106359-93-7,YES,"2-[[4-[3-(4-Chlorophenyl)-4,5-dihydro-1H-pyrazol-1-yl]-1-phenyl]sulfonyl]-N,N-dimethylethanamine, phosphonate",KE-05825,,,,,,,,,
527,10357-99-0,YES,"2-[[4-[3-(4-Chlorophenyl)-4,5-dihydro-1H-pyrazol-1-yl]phenyl]sulfonyl]-N,N-dimethylethanamine; 3-(p-Chlorophenyl)-1-[p-(N,N-dimethyltauryl)phenyl]-2-pyrazoline",KE-05824,,,,,,,,,
528,,YES,Lithium 5-[[4-(2-hydroxyethyl)-1-piperazinyl]sulfonyl]-2-propoxybenzoate,2015-3-7021,,,,,,,,,
529,2744-49-2,YES,"4-[3-(4-Chlorophenyl)-4,5-dihydro-1H-pyrazol-1-yl]benzenesulfonamide",KE-05823,,,,,,,,,
530,40691-09-6,YES,"4-[3-(4-Chlorophenyl)-4,5-dihydro-5-phenyl-1H-pyrazol-1-yl)benzenesulfonic acid sodium salt",KE-05822,,,,,,,,,
531,35367-38-5,YES,"N-(4-Chlorophenyl)-N'-(2,6-difluorobenzoyl)urea; Diflubenzuron",KE-05821,,,,,,,,,
532,68808-69-5,YES,"N-(4-Chlorophenyl)-2,2'-dicyano-N'-(3,4-dichlorophenyl)-2,2'-(1,3-isoindolidene)diacetamide",KE-05820,,,,,,,,,
533,101-20-2,YES,"N-(4-Chlorophenyl)-N'-(3,4-dichlorophenyl)urea; Triclocarban",KE-05819,,,,,,,,,
534,78587-05-0,YES,"trans-5-(4-Chlorophenyl)-N-cyclohexyl-4-methyl-2-oxo-3-thiazolidine carboxamide; Nissorun, Savey, Hexythiazox, Zeldox",KE-05818,,,,,,,,,
535,85-29-0,YES,"(2-Chlorophenyl) (4-chlorophenyl)methanone; 2,4'-Dichlorobenzophenone",KE-05817,,,,,,,,,
536,,YES,4-(4'-Chlorophenylazo)-3-methyl-1-phenyl-5-pyrazolone-2'-sulfonic acid sodium salt,KE-05816,,,,,,,,,
537,,YES,"2(or 4)-(Chlorophenyl)-alkyloxy(C=1-4), oxaspiroalkane(C=6-14)",KE-05815,,,,,,,,,
538,,YES,N-(Chlorophenyl)-N-alkane(C=2-6) amine,KE-05814,,,,,,,,,
539,93749-81-6,YES,2-(2-Chlorophenoxy)tetradecanoyl chloride,KE-05813,,,,,,,,,
540,886-74-8,YES,"3-(4-Chlorophenoxy)-1,2-propanediol-1-carbamate; Chlorphenesin carbamate, Maolate, Rinlaxer",KE-05812,,,,,,,,,
541,38083-17-9,YES,"1-(4-Chlorophenoxy)-1-(1H-imidazol-1-yl)-3,3-dimethyl-2-butanone; Climbazole",KE-05811,,,,,,,,,
542,43121-43-3,YES,"1-(4-Chlorophenoxy)-3,3-dimethyl-1H-(1,2,4-triazol-1-yl)-2-butanone; Triadimefon",KE-05810,,,,,,,,,
543,55219-65-3,YES,"1-(4-Chlorophenoxy)-3,3-dimethyl-1-(1H-1,2,4-triazol-1-yl)butan-2-ol; Triadimenol",KE-05809,,,,,,,,,
544,3685-84-5,YES,"(4-Chlorophenoxy)acetic acid-2-(dimethylamino)ethyl ester hydrochloride;  Cellative, Meclofenoxate hydrochloride",KE-05808,,,,,,,,,
545,122-88-3,YES,(p-Chlorophenoxy)acetic acid,KE-05807,,,,,,,,,
546,58-39-9,YES,4-[3-(2-Chloro-10H-phenothiazin-10-yl)propyl]-1-piperazinethanol; Perphenazine,KE-05806,,,,,,,,,
547,25231-12-3,YES,m-Chlorophenol polymers,KE-05805,,,,,,,,,
548,105-66-8,YES,"Propyl butyrate; Butanoic acid, propyl ester",KE-05-1119,,,,,,,,,
549,124-02-7,YES,N-2-Propenyl-2-propen-1-amine,KE-05-1118,97-1-465,,,,,,,유독물질 : N-2-프로펜일-2-프로펜-1-아민 및 이를 25% 이상 함유한 혼합물,
550,161075-32-7,YES,"1-(2-Propenyl)-1,1-dimethyl-2-(1-oxoalkyl(C=8-19))hydrazinium chloride",KE-05-1117,,,,,,,,,
551,160780-83-6,YES,"2-Propenoic acid, polymer with chloroethene, 1,1-dichloroethene and methyl 2-propenoate",KE-05-1116,,,,,,,,,
552,26124-53-8,YES,"2-Propenoic acid, polymer with 1,1-dichloroethene and methyl 2-propenoate",KE-05-1115,,,,,,,,,
553,35361-32-1,YES,"2-Propenoic acid, polymer with (chloromethyl)oxirane",KE-05-1114,,,,,,,,,
554,26589-20-8,YES,"2-Propenoic acid, ethyl ester, polymer with (2-chloroethoxy)ethene",KE-05-1113,,,,,,,,,
555,26335-74-0,YES,"2-Propenoic acid, 2-methylpropyl ester, homopolymer",KE-05-1112,,,,,,,,,
556,111740-63-7,YES,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, ethenylbenzene, 2-ethylhexyl 2-propenoate, ethyl 2-propenoate, N-(hydroxymethyl)-2-propenamide, methyl 2-methyl-2-propenoate, 1,2-propanediol mono-2-propenoate and 2-propenoic acid",KE-05-1111,,,,,,,,,
557,106-48-9,YES,p-Chlorophenol,KE-05804,,,,,,,,,
558,108-43-0,YES,3-Chlorophenol; m-Chlorophenol,KE-05803,,,,,,,,,
559,95-57-8,YES,2-Chlorophenol; o-Chlorophenol,KE-05802,,,,,,,,,
560,132-22-9,YES,Chloropheniramine,KE-05801,,,,,,,,,
561,76-15-3,YES,Chloropentafluoroethane; Freon 115,KE-05800,,,,,,,,,
