NO,CAS No.,Value,Chemical Name,KE No.,Toxic substances,Substances requiring preparation for accidents,Restricted substances,Prohibited substances,Permitted substances,Substances subject to intensive control,Persistent pollutants,Percentage & Regulatory Information,Legacy_yn
10246,2109-23-1,YES,"2-Isopropyl-2-methylpropane-1,3-diol",KE-21733,,,,,,,,,
10247,2051-33-4,YES,2-Isopropyl-5-methylhexan-1-ol,KE-21732,,,,,,,,,
10248,598-53-8,YES,Isopropyl methyl ether,KE-21731,,,,,,,,,
10249,68479-61-8,YES,2-Isopropyl-5-methylcyclohexyl [3-(triethoxysilylpropyl] aminoformate,KE-21730,,,,,,,,,
10250,93919-01-8,YES,2-Isopropyl-5-methylcyclohexyl stearate,KE-21729,,,,,,,,,
10251,1204-30-4,YES,6-(isopropyl)-3-methylcyclohex-2-en-1-yl acetate,KE-21728,,,,,,,,,
10252,1335-18-8,YES,5-(Isopropyl)-2-methylcyclohexen-1-yl acetate,KE-21727,,,,,,,,,
10253,4821-04-9,YES,1-(isopropyl)-4-methylcyclohex-3-en-1-yl acetate,KE-21726,,,,,,,,,
10254,4573-50-6,YES,(R)-6-(Isopropyl)-3-methylcyclohex-2-en-1-one,KE-21725,,,,,,,,,
10255,499-74-1,YES,3-(Isopropyl)-6-methylcyclohex-2-en-1-one,KE-21724,,,,,,,,,
10256,491-04-3,YES,6-(Isopropyl)-3-methylcyclohex-2-en-1-ol,KE-21723,,,,,,,,,
10257,586-82-3,YES,4-(Isopropyl)-1-methylcyclohex-3-en-1-ol,KE-21722,,,,,,,,,
10258,586-27-6,YES,3-(Isopropyl)-6-methylcyclohex-2-en-1-ol,KE-21721,,,,,,,,,
10259,499-70-7,YES,trans-5-Isopropyl-2-methylcyclohexan-1-one,KE-21720,,,,,,,,,
10260,499-69-4,YES,"(1α,2β,5α)-5-(Isopropyl)-2-methylcyclohexan-1-ol",KE-21719,,,,,,,,,
10261,99-82-1,YES,1-Isopropyl-4-methylcyclohexane,KE-21718,,,,,,,,,
10262,1733-25-1,YES,Isopropyl 2-methylcrotonate,KE-21717,,,,,,,,,
10263,51368-55-9,YES,Isopropyl 2-bromo-2-methylpropionate,KE-21716,,,,,,,,,
10264,86265-01-2,YES,1-(1-Isopropyl)-4-methylbicyclo[3.1.0]hexane-3-carboaldehyde,KE-21715,,,,,,,,,
10265,617-51-6,YES,Isopropyl lactate,KE-21714,,,,,,,,,
10266,617-50-5,YES,Isopropyl isobutyrate,KE-21713,,,,,,,,,
10267,93840-68-7,YES,2-Isopropyl-1H-imidazole sulfate,KE-21712,,,,,,,,,
10268,,YES,Isopropylidenediphenol dialkanoate(C=2-8),KE-21711,,,,,,,,,
10269,,YES,"4,4'-Isopropylidene diphenol alkyl(C=12-15) phosphite",KE-21710,,,,,,,,,
10270,12609-95-9,YES,"1,1''-Isopropylidenediferrocene",KE-21709,,,,,,,,,
10271,95052-97-4,YES,"Isopropylidenebis(4,1-phenylenoxy)bis[aminobenzene]",KE-21708,,,,,,,,,
10272,84000-75-9,YES,Isopropylidenebis(p-phenylenecarbonic acid) di-2-propenyl ester,KE-21707,,,,,,,,,
10273,141-72-0,YES,"1,1'-[Isopropylidenebis(oxy)]dibutane",KE-21706,,,,,,,,,
10274,25327-89-3,YES,"1,1'-Isopropylidenebis[4-(allyloxy)-3,5-dibromobenzene]; Tetrabromobisphenol A bis(allyl ether)",KE-21705,,,,,,,,,
10275,,YES,"4,4'-Isopropylidenebis[alkenyl(C=3-9) phenol]",KE-21704,,,,,,,,,
10276,5080-22-8,YES,N-Isopropylhydroxylamine,KE-21703,,,,,,,,,
10277,6914-90-5,YES,Isopropyl hydrogen sulfate,KE-21702,,,,,,,,,
10278,924-83-4,YES,Isopropyl hydrogen maleate,KE-21701,,,,,,,,,
10279,52221-06-4,YES,Isopropyl hydrogen adipate,KE-21700,,,,,,,,,
10280,2311-46-8,YES,Isopropyl hexanoate,KE-21699,,,,,,,,,
10281,5129-47-5,YES,Isopropyl 2-ethylbutyrate,KE-21698,,,,,,,,,
10282,,YES,Isopropyl 2-ethoxy alkanoate(C=4-8),KE-21697,,,,,,,,,
10283,10507-50-3,YES,Isopropyl (Z)-docos-13-enoate,KE-21696,,,,,,,,,
10284,17616-19-2,YES,8-Isopropyl-3-(diphenylmethoxy)-8-azoniabicyclo[3.2.1]octane methanesulfonate,KE-21695,,,,,,,,,
10285,479-92-5,YES,"4-Isopropyl-2,3-dimethyl-1-phenyl-3-pyrazolin-5-one; 1,2-Dihydro-1,5-dimethyl-4-(1-methylethyl)-2-phenyl-3H-pyrazol-3-one 4-Isopropylantipyrine, Propyphenazone",KE-21694,,,,,,,,,
