ID,CASRN,casregno,UID,EXP,ChemName,DEF,UVCB,FLAG,ACTIVITY
167,57-68-1,57681,,,"Benzenesulfonamide, 4-amino-N-(4,6-dimethyl-2-pyrimidinyl)-",,,,ACTIVE
168,57-71-6,57716,,,"2,3-Butanedione, 2-oxime",,,,ACTIVE
169,57-83-0,57830,,,"Pregn-4-ene-3,20-dione",,,,ACTIVE
170,57-85-2,57852,,,"Androst-4-en-3-one, 17-(1-oxopropoxy)-, (17.beta.)-",,,,INACTIVE
171,57-88-5,57885,,,Cholest-5-en-3-ol (3.beta.)-,,,,ACTIVE
172,57-97-6,57976,,,"Benz[a]anthracene, 7,12-dimethyl-",,,,ACTIVE
173,58-08-2,58082,,,"1H-Purine-2,6-dione, 3,7-dihydro-1,3,7-trimethyl-",,,,ACTIVE
174,58-15-1,58151,,,"3H-Pyrazol-3-one, 4-(dimethylamino)-1,2-dihydro-1,5-dimethyl-2-phenyl-",,,,ACTIVE
175,58-18-4,58184,,,"Androst-4-en-3-one, 17-hydroxy-17-methyl-, (17.beta.)-",,,,ACTIVE
176,58-22-0,58220,,,"Androst-4-en-3-one, 17-hydroxy-, (17.beta.)-",,,,ACTIVE
177,58-27-5,58275,,,"1,4-Naphthalenedione, 2-methyl-",,,,ACTIVE
178,58-33-3,58333,,,"10H-Phenothiazine-10-ethanamine, N,N,.alpha.-trimethyl-, hydrochloride (1:1)",,,,INACTIVE
179,58-55-9,58559,,,"1H-Purine-2,6-dione, 3,9-dihydro-1,3-dimethyl-",,,,ACTIVE
180,58-56-0,58560,,,"3,4-Pyridinedimethanol, 5-hydroxy-6-methyl-, hydrochloride (1:1)",,,,ACTIVE
181,58-60-6,58606,,,"Adenosine, 3'-amino-3'-deoxy-N,N-dimethyl-",,,,INACTIVE
182,58-61-7,58617,,,Adenosine,,,,ACTIVE
183,58-63-9,58639,,,Inosine,,,,ACTIVE
184,58-64-0,58640,,,Adenosine 5'-(trihydrogen diphosphate),,,,ACTIVE
185,58-68-4,58684,,,"Adenosine 5'-(trihydrogen diphosphate), P'.fwdarw.5'-ester with 1,4-dihydro-1-.beta.-D-ribofuranosyl-3-pyridinecarboxamide",,,,INACTIVE
186,58-72-0,58720,,,"Benzene, 1,1',1''-(1-ethenyl-2-ylidene)tris-",,,,ACTIVE
187,58-73-1,58731,,,"Ethanamine, 2-(diphenylmethoxy)-N,N-dimethyl-",,,,INACTIVE
188,58-85-5,58855,,,"1H-Thieno[3,4-d]imidazole-4-pentanoic acid, hexahydro-2-oxo-, (3aS,4S,6aR)-",,,,ACTIVE
189,58-86-6,58866,,,D-Xylose,,,,ACTIVE
190,58-89-9,58899,,,"Cyclohexane, 1,2,3,4,5,6-hexachloro-, (1.alpha.,2.alpha.,3.beta.,4.alpha.,5.alpha.,6.beta.)-",,,,ACTIVE
191,58-90-2,58902,,,"Phenol, 2,3,4,6-tetrachloro-",,,,ACTIVE
192,58-93-5,58935,,,"2H-1,2,4-Benzothiadiazine-7-sulfonamide, 6-chloro-3,4-dihydro-, 1,1-dioxide",,,,ACTIVE
193,58-94-6,58946,,,"2H-1,2,4-Benzothiadiazine-7-sulfonamide, 6-chloro-, 1,1-dioxide",,,,ACTIVE
194,58-95-7,58957,,,"2H-1-Benzopyran-6-ol, 3,4-dihydro-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-, 6-acetate, (2R)-",,,,ACTIVE
195,58-96-8,58968,,,Uridine,,,,ACTIVE
196,58-97-9,58979,,,5'-Uridylic acid,,,,INACTIVE
197,59-01-8,59018,,,"D-Streptamine, O-3-amino-3-deoxy-.alpha.-D-glucopyranosyl-(1.fwdarw.6)-O-[6-amino-6-deoxy-.alpha.-D-glucopyranosyl-(1.fwdarw.4)]-2-deoxy-",,,,ACTIVE
198,59-02-9,59029,,,"2H-1-Benzopyran-6-ol, 3,4-dihydro-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-, (2R)-",,,,ACTIVE
199,59-05-2,59052,,,"L-Glutamic acid, N-[4-[[(2,4-diamino-6-pteridinyl)methyl]methylamino]benzoyl]-",,,,ACTIVE
200,59-14-3,59143,,,"Uridine, 5-bromo-2'-deoxy-",,,,ACTIVE
201,59-23-4,59234,,,D-Galactose,,,,ACTIVE
202,59-30-3,59303,,,"L-Glutamic acid, N-[4-[[(2-amino-3,4-dihydro-4-oxo-6-pteridinyl)methyl]amino]benzoyl]-",,,,ACTIVE
203,59-31-4,59314,,,2(1H)-Quinolinone,,,,INACTIVE
204,59-33-6,59336,,,"1,2-Ethanediamine, N1-[(4-methoxyphenyl)methyl]-N2,N2-dimethyl-N1-2-pyridinyl-, (2Z)-2-butenedioate (1:1)",,,,ACTIVE
205,59-40-5,59405,,,"Benzenesulfonamide, 4-amino-N-2-quinoxalinyl-",,,,INACTIVE
206,59-43-8,59438,,,"Thiazolium, 3-[(4-amino-2-methyl-5-pyrimidinyl)methyl]-5-(2-hydroxyethyl)-4-methyl-, chloride (1:1)",,,,ACTIVE
207,59-49-4,59494,,,2(3H)-Benzoxazolone,,,,ACTIVE
208,59-50-7,59507,,,"Phenol, 4-chloro-3-methyl-",,,,ACTIVE
209,59-51-8,59518,,,Methionine,,,,ACTIVE
210,59-52-9,59529,,,"1-Propanol, 2,3-dimercapto-",,,,ACTIVE
211,59-56-3,59563,,,".alpha.-D-Glucopyranose, 1-(dihydrogen phosphate)",,,,INACTIVE
212,59-66-5,59665,,,"Acetamide, N-[5-(aminosulfonyl)-1,3,4-thiadiazol-2-yl]-",,,,ACTIVE
