CAS Number,CAS Name,Name,Approval
131276-37-4,"Hexadecanamide, 9,10,16-trihydroxy-N-[2-hydroxy-3-(tetradecyloxy)propyl]-","Hexadecanamide, 9,10,16-trihydroxy-N-2-hydroxy-3-(tetradecyloxy)propyl-",Does not have an individual approval but may be used under an appropriate group standard
13127-82-7,"Ethanol, 2,2'-[(9Z)-9-octadecenylimino]bis-","Ethanol, 2,2'-[(9Z)-9-octadecenylimino]bis-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
13127-88-3,Phenol-d6,Phenol-d6,Does not have an individual approval but may be used under an appropriate group standard
1312-81-8,Lanthanum oxide (La2O3),Lanthanum oxide (La2O3),Does not have an individual approval but may be used under an appropriate group standard
13129-68-5,"1H-Indole-2,3-dione, 1-[(diethylamino)methyl]-","1H-Indole-2,3-dione, 1-(diethylamino)methyl-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
131298-44-7,"Benzoic acid, C9-11-branched alkyl esters","Benzoic acid, C9-11-branched alkyl esters",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1313-13-9,Manganese oxide (MnO2),Manganese (IV) oxide,HSNO Approval: HSR003741 Approved with controls
131324-06-6,"Poly(difluoromethylene), .alpha.-chloro-.omega.-(1-chloro-1-fluoroethyl)-","Poly(difluoromethylene), .alpha.-chloro-.omega.-(1-chloro-1-fluoroethyl)-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
131324-11-3,"Ethanol, 2,2'-[1,2-ethanediylbis(oxy)]bis-, reaction products with ammonia","Ethanol, 2,2'-[1,2-ethanediylbis(oxy)]bis-, reaction products with ammonia",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1313-27-5,Molybdenum oxide (MoO3),Molybdenum (VI) oxide,Does not have an individual approval but may be used under an appropriate group standard
13133-29-4,"1-Propanol, 3-[3-(3-methoxypropoxy)propoxy]-","1-Propanol, 3-3-(3-methoxypropoxy)propoxy-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1313395-28-6,"2-Propenoic acid, 2-methyl-, 2-hydroxyethyl ester, polymer with 1-ethenyl-1H-imidazole, ethenylmethylbenzene, 2-ethylhexyl 2-propenoate and .alpha.-(2-methyl-1-oxo-2-propen-1-yl)-.omega.-methoxypoly(oxy-1,2-ethanediyl), tert-Bu 2-ethylhexaneperoxoate-initiated","2-Propenoic acid, 2-methyl-, 2-hydroxyethyl ester, polymer with 1-ethenyl-1H-imidazole, ethenylmethylbenzene, 2-ethylhexyl 2-propenoate and α-(2-methyl-1-oxo-2-propen-1-yl)-ω-methoxypoly(oxy-1,2-ethanediyl), tert-Bu 2-ethylhexaneperoxoate-initiated",Does not have an individual approval but may be used under an appropriate group standard
131341-86-1,"1H-Pyrrole-3-carbonitrile, 4-(2,2-difluoro-1,3-benzodioxol-4-yl)-",Fludioxonil,Does not have an individual approval but may be used under an appropriate group standard
1313-59-3,Sodium oxide (Na2O),Sodium oxide (Na2O),Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1313-60-6,Sodium peroxide (Na2(O2)),Sodium peroxide,HSNO Approval: HSR001355 Approved with controls
1313730-22-1,"1,5-Pentanediamine, 2-methyl-, reaction products with 2-[(2-methylphenoxy)methyl]oxirane","1,5-Pentanediamine, 2-methyl-, reaction products with 2-[(2-methylphenoxy)methyl]oxirane",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1313-82-2,Sodium sulfide (Na2S),"Sodium sulphide, hydrated with not less than 30% water",Does not have an individual approval but may be used under an appropriate group standard
1313-84-4,"Sodium sulfide (Na2S), nonahydrate","Sodium sulfide (Na2S), nonahydrate",Does not have an individual approval but may be used under an appropriate group standard
13138-45-9,"Nitric acid, nickel(2+) salt","Nitric acid, nickel(2+) salt",HSNO Approval: HSR001333 Approved with controls
13138-48-2,"[1,1'-Binaphthalene]-4,4'-diamine, 3,3'-dimethyl-","[1,1'-Binaphthalene]-4,4'-diamine, 3,3'-dimethyl-",Does not have an individual approval but may be used under an appropriate group standard
