CR No.,CAS No,Chemical Name,AICIS Approved Chemical Name (AACN),Molecular Formula,Defined Scope Of Assessment,Conditions Of Use,Specific Information Requirement,Prescribed Information
41833,2271081-78-6,"Fatty acids, C18-unsatd., dimers, hydrogenated, polymers with 1,4-cyclohexanedimethanol, diethylene glycol, 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane, isophthalic acid and neopentyl glycol, caprolactam-blocked",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41835,3034748-74-5,"Tannins, polymers with acrylamide and sodium 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-1-propanesulfonate (1:1), sodium salts, peroxydisulfuric acid ([(HO)S(O)2]2O2) ammonium salt (1:2)-initiated",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41836,121028-78-2,"2-Propenoic acid, 2-methyl-, dodecyl ester, polymer with eicosyl 2-methyl-2-propenoate, hexadecyl 2-methyl-2-propenoate, isodecyl 2-methyl-2-propenoate, methyl 2-methyl-2-propenoate, octadecyl 2-methyl-2-propenoate, pentadecyl 2-methyl-2-propenoate, tetradecyl 2-methyl-2-propenoate and tridecyl 2-methyl-2-propenoate",,(C24H46O2.C22H42O2.C20H38O2.C19H36O2.C18H34O2.C17H32O2.C16H30O2.C14H26O2.C5H8O2)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41838,291534-83-3,"1-Propanesulfonic acid, 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-, polymer with N-ethenylformamide, 1-ethenyl-2-pyrrolidinone and 2-propenamide, ammonium salt",,(C7H13NO4S.C6H9NO.C3H5NO.C3H5NO)x.xH3N,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41840,147515-57-9,"Cellulose, 2-hydroxyethyl ether, reaction products with ethenylphosphonic acid",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41841,2253674-02-9,"Fatty acids, C16-18 and C18-unsatd., polymers with castor oil, glycerol, Me methacrylate, phthalic anhydride, soybean oil and styrene",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41842,2253973-10-1,"Fatty acids, C16-18 and C18-unsatd., polymers with benzoic acid, conjugated sunflower-oil fatty acids, Me methacrylate, pentaerythritol, phthalic anhydride, styrene and trimethylolpropane",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41844,2306827-16-5,"Acetic acid ethenyl ester, polymer with .alpha.-2-propen-1-yl-.omega.-hydroxypoly[oxy(methyl-1,2-ethanediyl)], hydrolyzed",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41845,932742-30-8,"Dodecanoic acid, 3-[[3-[[[2,2-dimethyl-3-[(1-oxododecyl)oxy]propylidene]amino]methyl]-3,5,5-trimethylcyclohexyl]imino]-2,2-dimethylpropyl ester",,C44H82N2O4,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41846,613222-52-9,"Dodecanoic acid, 1,1'-[1,6-hexanediylbis[nitrilo(2,2-dimethyl-1-propanyl-3-ylidene)]] ester",,C40H76N2O4,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41847,1375064-09-7,"Hexanedioic acid, polymer with 1,3-dihydro-1,3-dioxo-5-isobenzofurancarboxylic acid and 2,2-dimethyl-1,3-propanediol, compd. with 2-(dimethylamino)ethanol",,(C9H4O5.C6H10O4.C5H12O2)x.xC4H11NO,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41848,1376939-57-9,"Hexanedioic acid, polymer with .alpha.-[2,2-bis(hydroxymethyl)butyl]-.omega.-methoxypoly(oxy-1,2-ethanediyl), 2,2-dimethyl-1,3-propanediol, 1,2-ethanediamine, 1,6-hexanediol, 3-hydroxy-2-(hydroxymethyl)-2-methylpropanoic acid and 1,1'-methylenebis[4-isocyanatocyclohexane], compd. with N,N-diethylethanamine",,(C15H22N2O2.(C2H4O)nC7H16O3.C6H14O2.C6H10O4.C5H12O2.C5H10O4.C4H10O2.C2H8N2)x.XC6H15N,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41849,1428741-30-3,"Acetic acid ethenyl ester, polymer with 2,5-furandione, hydrolyzed, sodium salts",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41850,2271081-80-0,"Formaldehyde, polymers with phenol (tetrapropenyl) derivs., 2-hydroxyethyl ethers",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41851,2253973-09-8,"Quaternary ammonium compounds, C12-16-alkylethyldimethyl, Et sulfates",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41852,72121-88-1,"D-Glucopyranuronic acid, polymer with 6-deoxy-L-mannose, D-glucose and D-mannose, calcium potassium sodium salt",,(C6H12O6.C6H12O6.C6H12O5.C6H10O7)x.xCa.xK.xNa,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41853,223705-57-5,"Fatty acids, coco, 2-sulfoethyl esters, ammonium salts",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41855,15123-80-5,Aluminum molybdenum oxide (Al2Mo3O12),,Al.Mo.O,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41856,83926-74-3,"Cyclopentanepropanol, .alpha.,.alpha.-dimethyl-",,C10H20O,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41857,1401453-42-6,"1,4-Benzenedicarboxylic acid, polymer with 1,3-dihydro-1,3-dioxo-5-isobenzofurancarboxylic acid, hexanedioic acid, .alpha.,.alpha.'-[(1-methylethylidene)di-4,1-phenylene]bis[.omega.-hydroxypoly(oxy-1,2-ethanediyl)], .alpha.,.alpha.'-[(1-methylethylidene)di-4,1-phenylene]bis[.omega.-hydroxypoly[oxy(methyl-1,2-ethanediyl)]] and 1,2-propanediol, benzoate",,(C9H4O5.C8H6O4.C6H10O4.C3H8O2.(C3H6O)n(C3H6O)nC15H16O2.(C2H4O)n(C2H4O)nC15H16O2)x.xC7H6O2,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41859,33479-65-1,"2-Propenoic acid, 2-methyl-, 2-propen-1-yl ester, polymer with butyl 2-propenoate, ethenylbenzene, ethyl 2-propenoate and methyl 2-methyl-2-propenoate",,(C8H8.C7H12O2.C7H10O2.C5H8O2.C5H8O2)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41861,2345685-63-2,"2-Propenoic acid, polymer with ethenylbenzene and ethyl 2-propenoate, tert-Bu 3,5,5-trimethylhexaneperoxoate-initiated, compds. with 2-(dimethylamino)ethanol",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41862,498573-85-6,"Benzene, ethenyl-, polymer with 1-(ethenyloxy)-2-methylpropane, block",,(C8H8.C6H12O)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
4187,306-37-6,"Hydrazine, 1,2-dimethyl-, dihydrochloride",,C2H8N2.2ClH,,,,
41875,22036-78-8,"Phosphonic acid, P,P'-[[(2-hydroxyethyl)imino]bis(methylene)]bis-, sodium salt (1:?)",,C4H13NO7P2.xNa,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41876,138684-80-7,"Phosphonic acid, [(tetrahydro-2-hydroxy-2-oxido-4H-1,4,2-oxazaphosphorin-4-yl)methyl]-, sodium salt",,C4H11NO6P2.xNa,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41878,157707-80-7,"Fatty acids, C18-unsatd., dimers, reaction products with bisphenol A epichlorohydrin copolymer, tall-oil fatty acids, tetraethylenepentamine and triethylenetetramine",,unspecified,,,,
41879,656828-15-8,"1-Propanesulfonic acid, 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-, sodium salt (1:1), polymer with .alpha.-[4-(ethenyloxy)butyl]-.omega.-hydroxypoly(oxy-1,2-ethanediyl) and 2-propenamide",,(C7H13NO4S.C3H5NO.(C2H4O)nC6H12O2.Na)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41882,2605-79-0,"1-Decanamine, N,N-dimethyl-, N-oxide",,C12H27NO,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41883,909791-34-0,"Siloxanes and Silicones, di-Me, Me hydrogen, polymers with 1,3-diethenyl-1,1,3,3-tetramethyldisiloxane-hexamethyldisiloxane-silicic acid (H4SiO4) tetra-Et ester hydrolysis products",,unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41884,1443225-27-1,"Siloxanes and Silicones, di-Me, Me hydrogen, Me stearyl, polymers with 1,3-diethenyl-1,1,3,3-tetramethyldisiloxane-1,1,1,3,3,3-hexamethyldisiloxane-silicic acid (H4SiO4) tetra-Et ester hydrolysis products",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41885,2305883-14-9,"Hexanedioic acid, polymer with 1,4-cyclohexanedimethanol, 2,2-dimethyl-1,3-propanediol, 1,6-hexanediol, hydrazine, 3-hydroxy-2-(hydroxymethyl)-2-methylpropanoic acid and 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane, compd. with N,N-diethylethanamine",,(C12H18N2O2.C5H10O4.C8H16O2.C6H14O2.C6H10O4.C5H12O2.H4N2)x.xC6H15N,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41886,1200442-08-5,"Hexanedioic acid, polymer with 1,4-butanediol, 1,6-diisocyanatohexane, dimethyl carbonate, 2,2-dimethyl-1,3-propanediol, 2-ethyl-2-(hydroxymethyl)-1,3-propanediol, 1,6-hexanediol, 3-hydroxy-2-(hydroxymethyl)-2-methylpropanoic acid and 1,3-isobenzofurandione",,(C8H12N2O2.C8H4O3.C6H14O3.C6H14O2.C6H10O4.C5H12O2.C5H10O4.C4H10O2.C3H6O3)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41887,1233879-59-8,"2-Propenoic acid, sodium salt (1:1), telomer with 2-mercaptoethanol and sodium 2-methyl-2-propene-1-sulfonate (1:1), peroxydisulfuric acid ([(HO)S(O)2]2O2) sodium salt (1:2)-initiated",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41888,1187742-72-8,"2-Propanol, 1-amino-, compds. with polyethylene glycol hydrogen sulfate C12-14-alkyl ethers",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41889,82469-79-2,"1,2,3-Propanetricarboxylic acid, 2-(1-oxobutoxy)-, 1,2,3-trihexyl ester",,C28H50O8,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
4189,306-83-2,"Ethane, 2,2-dichloro-1,1,1-trifluoro-",,C2HCl2F3,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41890,2299176-84-2,"1-Propanesulfonic acid, 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-, sodium salt (1:1), polymer with N,N-dimethyl-2-propenamide, N,N'-methylenebis[2-propenamide] and .alpha.-(1-oxo-2-propen-1-yl)-.omega.-[(1-oxo-2-propen-1-yl)oxy]poly(oxy-1,2-ethanediyl)",,(C7H13NO4S.C7H10N2O2.C5H9NO.(C2H4O)nC6H6O3.Na)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41891,2306064-39-9,"2,5-Furandione, dihydro-, polymer with 2-(chloromethyl)oxirane and 4,4'-(1-methylethylidene)bis[phenol], diester with .alpha.-(1-oxo-2-propen-1-yl)-.omega.-hydroxypoly[oxy(methyl-1,2-ethanediyl)]",,(C15H16O2.C4H4O3.C3H5ClO)x.2(C3H6O)nC3H4O2,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41892,1352745-21-1,"Quinoline, 5,6,7,8-tetrahydro-8-(1-methylpropyl)-",,C13H19N,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41896,1450625-49-6,"Oils, patchouli, patchoulol synthase-modified Saccharomyces cerevisiae-fermented, from carbohydrates",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41897,28471-14-9,"Anthrazinesulfonic acid, 5,6,9,14,15,18-hexahydro-5,9,14,18-tetraoxo-",,C28H14N2O7S,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41898,774119-48-1,"Anthrazinedisulfonic acid, 5,6,9,14,15,18-hexahydro-5,9,14,18-tetraoxo-",,C28H14N2O10S2,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41899,91081-64-0,"Slags, ilmenite electrothermal smelting",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
419,50-89-5,Thymidine,,C10H14N2O5,,,,
4190,306-91-2,"Phenanthrene, tetracosafluorotetradecahydro-",,C14F24,,,,
41901,15872-89-6,"Butanedioic acid, 1,4-diheptyl ester",,C18H34O4,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41902,1421700-12-0,"Poly(oxy-1,2-ethanediyl), .alpha.,.alpha.',.alpha.''-1,2,3-propanetriyltris[.omega.-hydroxy-, 2-hydroxyhexadecyl ether",,C16H34O2.x(C2H4O)n(C2H4O)n(C2H4O)nC3H8O3,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41903,261767-39-9,"Fatty acids, C8-18 and C18-unsatd., polymers with adipic acid and pentaerythritol",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41904,139873-90-8,"Oxirane, 2-ethyl-, polymer with 2-methyloxirane, monododecyl ether",,C12H26O.(C4H8O.C3H6O)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41905,71243-64-6,"Linseed oil, polymer with pentaerythritol, phthalic anhydride, soybean oil, styrene and vinyltoluene",,(C9H10.C8H8.C8H4O3.C5H12O4.Unspecified.Unspecified)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41906,66072-10-4,"Benzene, 1,1'-methylenebis[4-isocyanato-, polymers with hydroxy-terminated polybutadiene",,(C15H10N2O2.C4H6)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41907,1365118-01-9,"Siloxanes and Silicones, di-Me, 3-hydroxypropyl Me, lauryl Me, Me 2-[3,3,3-trimethyl-1,1-bis[(trimethylsilyl)oxy]-1-disiloxanyl]ethyl, ethoxylated",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41908,1351192-50-1,"Cuprate(1-), [29H,31H-phthalocyanine-C-sulfonato(3-)-.kappa.N29,.kappa.N30,.kappa.N31,.kappa.N32]-, hydrogen (1:1), compds. with polypropylene glycol 2-aminomethylethyl branched nonylphenyl ether",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41909,1351192-51-2,"Cuprate(2-), [29H,31H-phthalocyanine-C,C-disulfonato(4-)-.kappa.N29,.kappa.N30,.kappa.N31,.kappa.N32]-, hydrogen (1:2), compds. with polypropylene glycol 2-aminomethylethyl branched nonylphenyl ether (1:2)",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
4191,307-24-4,"Hexanoic acid, undecafluoro-",,C6HF11O2,,,,
41910,1351192-52-3,"Cuprate(3-), [29H,31H-phthalocyanine-C,C,C-trisulfonato(5-)-.kappa.N29,.kappa.N30,.kappa.N31,.kappa.N32]-, hydrogen (1:3), compds. with polypropylene glycol 2-aminomethylethyl branched nonylphenyl ether (1:3)",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41911,76259-47-7,"2-Propenoic acid, 2-methyl-, octadecyl ester, polymer with butyl-2-propenoate and 1-ethenyl-2-pyrrolidinone",,(C22H42O2.C7H12O2.C6H9NO)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41912,36541-61-4,"Poly(oxy-1,2-ethanediyl), .alpha.-[3-[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]-1-oxopropyl]-.omega.-[3-[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]-1-oxopropoxy]-",,(C2H4O)nC34H50O5,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41914,1001252-30-7,"2H-2,4a-Methanonaphthalene-8-ethanol, 1,3,4,5,6,8a-hexahydro-.beta.,1,1,5,5-pentamethyl-",,C18H30O,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41917,10138-32-6,"Bicyclo[2.2.1]hept-5-ene-2-carboxylic acid, ethyl ester",,C10H14O2,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41918,97821-92-6,"1-Propanaminium, N,N,N-trimethyl-3-[(2-methyl-1-oxo-2-propenyl)amino]-, chloride, polymer with N-[3-(dimethylamino)propyl]-2-methyl-2-propenamide, 2-methyl-2-[(1-oxo-2-propenyl)amino]-1-propanesulfonic acid and 2-propenamide",,(C10H21N2O.C9H18N2O.C7H13NO4S.C3H5NO.Cl)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41919,349656-42-4,"Silsesquioxanes, Me Ph, methoxy-terminated, polymers with epichlorohydrin, 4,4'-(1-methylethylidene)bis[cyclohexanol] and trimethylolpropane",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
4192,307-34-6,"Octane, octadecafluoro-",,C8F18,,,,
41920,132638-45-0,"Carbonic acid, 2-methoxy-4-methylphenyl methyl ester",,C10 H12 O4,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41921,903899-40-1,"2-Propenoic acid, butyl ester, polymer with 4-ethenylpyridine, ester with .alpha.-methyl-.omega.-hydroxypoly(oxy-1,2-ethanediyl)",,(C7H12O2.C7H7N)x.x(C2H4O)nCH4O,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41922,1309457-61-1,"Octadecanoic acid, 12-hydroxy-, compd. with aziridine polymer with N1-(2-aminoethyl)-1,2-ethanediamine, 12-hydroxyoctadecanoic acid, 2-oxepanone and tetrahydro-2H-pyran-2-one",,(C18H36O3.C6H10O2.C5H8O2.C4H13N3.C2H5N)x.xC18H36O3,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41923,184851-83-0,"1,4-Benzenedicarboxylic acid, polymer with 1,2-ethanediol, 2-ethyl-2-(hydroxymethyl)-1,3-propanediol, hexanedioic acid and 1,1'-[(1-methylethylidene)bis(4,1-phenyleneoxy)]bis[2-propanol]",,(C21H28O4.C8H6O4.C6H14O3.C6H10O4.C2H6O2)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41924,78623-04-8,"Oxirane, 2-[[(2-ethylhexyl)oxy]methyl]-, polymer with oxirane",,(C11H22O2.C2H4O)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41925,151789-11-6,"2-propenoic acid, 2-methyl-, polymers with butadiene, polyethylene glycol hydrogen maleate C16-18-alkyl ether and styrene",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41926,58976-65-1,"L-Glutamic acid, N,N-bis(carboxymethyl)-",,C9H13NO8,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41927,1158078-68-2,"Alkenes, C26-30 .alpha.-, polymd.",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41928,76649-35-9,"Hexanedioic acid, polymer with N1-(2-aminoethyl)-1,2-ethanediamine, ammonia, 2-(chloromethyl)oxirane, formaldehyde and formic acid",,(C6H10O4.C4H13N3.C3H5ClO.CH2O2.CH2O.H3N)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41929,1448254-13-4,"Amides, from polyethylenepolyamines and tall-oil fatty acids, reaction products with succinic anhydride monopolyisobutylene derivs.",,Unspecified ,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
4193,307-35-7,"1-Octanesulfonyl fluoride, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-",,C8F18O2S,,,,
41930,70776-57-7,"Oxirane, 2-methyl-, polymer with oxirane, ether with 2-ethyl-2-(hydroxymethyl)-1,3-propanediol (3:1), polymer with .alpha.-hydro-.omega.-hydroxypoly[oxy(methyl-1,2-ethanediyl)] and 1,1'-methylenebis[4-isocyanatocyclohexane]",,(C15H22N2O2.C6H14O3.3(C3H6O.C2H4O)x.(C3H6O)nH2O)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41931,2374276-78-3,"Fatty acids, C18-unsatd., dimers, polymers with adipic acid, 1,4-butanediol, 2,2'-[1,4-cyclohexanediylbis(methyleneoxymethylene)]bis[oxirane], ethylenediamine, 1,6-hexanediol, 3-hydroxy-2-(hydroxymethyl)-2-methylpropanoic acid, 1,1'-methylenebis[4-isocyanatocyclohexane], neopentyl glycol and 4-oxopentanoic acid, compds. with triethylamine",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41932,137796-03-3,"1H-Benz[de]isoquinoline-1,3(2H)-dione, 2-isononyl-6-(isononylamino)-",,C30H44N2O2,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41934,215816-91-4,"Benzamide, N-[3-(dimethylamino)propyl]-3-[4-[4-(1,1-dimethylethyl)phenyl]-2,3,5,6-tetrahydro-3,6-dioxopyrrolo[3,4-c]pyrrol-1-yl]-",,C28H32N4O3,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41945,1658460-06-0,"Alkenes, C15-18, polymers with ethylene glycol and maleic anhydride",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41946,91031-41-3,"Fatty acids, C16-22, esters with triethanolamine",,C6H15NO3.Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41947,1458681-70-3,"Fatty acids, C18-22, triesters with polyethylene glycol ether with triethanolamine (3:1)",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41948,924892-37-5,"Acetic acid ethenyl ester, polymer with sodium 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-1-propanesulfonate (1:1), hydrolyzed",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41950,2329698-87-3,"2-Propenoic acid, 2-methyl-, polymer with ethyl 2-propenoate and oxirane",,(C5H8O2.C4H6O2.C2H4O)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41952,1444368-09-5,"1-Propene, polymer with ethene, maleated, 2-(2-naphthalenyloxy)ethyl imide",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41953,52733-65-0,"2-Propenoic acid, 2-methyl-, polymer with ethenylbenzene, 2-hydroxyethyl 2-methyl-2-propenoate and methyl 2-methyl-2-propenoate",,(C8H8.C6H10O3.C5H8O2.C4H6O2)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41954,42233-75-0,"Decanedioic acid, 1,10-didocosyl ester",,C54H106O4,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
4196,311-28-4,"1-Butanaminium, N,N,N-tributyl-, iodide",,C16H36N.I,,,,
41965,68956-01-4,"Fatty acids, C16-18 and C18-unsatd., polymers with crotonic acid, pentaerythritol and phthalic anhydride",,(C8H4O3.C5H12O4.C4H6O2.Unspecified)x,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41968,1384855-25-7,"2-Propenoic acid, butyl ester, polymer with ethenylbenzene, di-sec-Bu peroxydicarbonate-initiated",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
41969,1039756-60-9,"Strontium, chloro hydroxy hydrogenated resin acids [29H,31H-phthalocyaninato(2-)-.kappa.N29,.kappa.N30,.kappa.N31,.kappa.N32]copper sulfo derivs. complexes",,Unspecified,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
4197,311-89-7,"1-Butanamine, 1,1,2,2,3,3,4,4,4-nonafluoro-N,N-bis(nonafluorobutyl)-",,C12F27N,,,,
