CR No.,CAS No,Chemical Name,AICIS Approved Chemical Name (AACN),Molecular Formula,Defined Scope Of Assessment,Conditions Of Use,Specific Information Requirement,Prescribed Information
10056,6232-49-1,"Benzoic acid, 3,3'-[[2,2'-disulfo[1,1'-biphenyl]-4,4'-diyl]bis(azo)]bis[6-hydroxy-, tetrasodium salt",,C26H18N4O12S2.4Na,,,,
10057,6232-51-5,"Benzenesulfonic acid, 2-hydroxy-3-[(2-hydroxy-1-dibenzofuranyl)azo]-5-nitro-, monosodium salt",,C18H11N3O8S.Na,,,,
10058,6232-56-0,"Ethanol, 2-[[4-[(2,6-dichloro-4-nitrophenyl)azo]phenyl]methylamino]-",,C15H14Cl2N4O3,,,,
10059,6232-57-1,"Benzenamine, 4-[(4-aminophenyl)azo]-2-methoxy-5-methyl-",,C14H16N4O,,,,
1006,77-61-2,"Phenol, 2,4-dimethyl-6-(1-methylcyclohexyl)-",,C15H22O,,,,
10060,6232-88-8,"Benzoic acid, 4-(bromomethyl)-",,C8H7BrO2,,,,
10061,6233-20-1,"Silane, trichloro(2-chloroethyl)-",,C2H4Cl4Si,,,,
10062,6236-05-1,"2-Furancarboxaldehyde, 5-nitro-, oxime, (Z)-",,C5H4N2O4,,,,
10063,6245-60-9,"2-Naphthalenesulfonic acid, 6-amino-4-hydroxy-5-[[2-(phenylsulfonyl)phenyl]azo]-, monosodium salt",,C22H17N3O6S2.Na,,,,
10064,6245-75-6,".beta.-Alanine, N,N-bis(carboxymethyl)-",,C7H11NO6,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
10065,6247-34-3,"2-Anthracenesulfonic acid, 4-[[4-(acetylamino)phenyl]amino]-1-amino-9,10-dihydro-9,10-dioxo-",,C22H17N3O6S,,,,
10066,6247-39-8,"Anthra[2,1,9-mna]benz[6,7]indazolo[2,3,4-fgh]acridine-5,10-dione",,C31H14N2O2,,,,
10067,6247-46-7,"Benzamide, N,N'-(10,15,16,17-tetrahydro-1-methoxy-5,10,15,17-tetraoxo-5H-dinaphtho[2,3-a:2',3'-i]carbazole-4,9-diyl)bis-",,C43H25N3O7,,,,
10068,6248-04-0,"m-Dioxane, 2,5-dimethyl-5-phenyl-",,C12H16O2,,,,
10069,6248-20-0,"Benzaldehyde, 2,4-dihydroxy-3-methyl-",,C8H8O3,,,,
1007,77-62-3,"Phenol, 2,2'-methylenebis[4-methyl-6-(1-methylcyclohexyl)-",,C29H40O2,,,,
10070,6250-23-3,"Phenol, 4-[[4-(phenylazo)phenyl]azo]-",,C18H14N4O,,,,
10071,6250-73-3,"3,7-Nonadienenitrile, 4,8-dimethyl-",,C11H17N,,,,
10072,6252-62-6,"Benzenesulfonic acid, 4,4'-[1,3-phenylenebis[azo(4,6-diamino-3,1-phenylene)azo]]bis-, disodium salt",,C30H26N12O6S2.2Na,,,,
10073,6252-76-2,"Benzoic acid, 2-[6-[(2-methylphenyl)amino]-3-[(2-methyl-4-sulfophenyl)imino]-3H-xanthen-9-yl]-, monosodium salt",,C34H26N2O6S.Na,,,,
10074,6253-10-7,"Phenol, 4-[[4-(phenylazo)-1-naphthalenyl]azo]-",,C22H16N4O,,,,
10075,6254-98-4,"1,4-Benzenediamine, N-(4-methoxyphenyl)-, sulfate (2:1)",,C13H14N2O.1/2H2O4S,,,,
10076,6258-63-5,2-Thiophenemethanethiol,,C5H6S2,,,,
10077,6259-38-7,"Benzenamine, 5-chloro-2-phenoxy-, hydrochloride",,C12H10ClNO.ClH,,,,
10078,6259-40-1,"Benzenamine, 3-chloro-2-methyl-, hydrochloride",,C7H8ClN.ClH,,,,
10079,6259-42-3,"Benzenamine, 5-chloro-2-methyl-, hydrochloride",,C7H8ClN.ClH,,,,
1008,77-63-4,"Cyclotetrasiloxane, 2,4,6,8-tetramethyl-2,4,6,8-tetraphenyl-",,C28H32O4Si4,,,,
10080,6259-76-3,"Benzoic acid, 2-hydroxy-, hexyl ester",,C13H18O3,,,,
10081,6261-18-3,"2-Cyclopenten-1-one, 3-methyl-2-(2-pentenyl)-, (E)-",,C11H16O,,,,
10082,6261-22-9,2-Pentyn-1-ol,,C5H8O,,,,
10083,6262-07-3,"2-Naphthalenesulfonic acid, 6-hydroxy-5-[[4-[[4-(phenylamino)-3-sulfophenyl]azo]-1-naphthalenyl]azo]-, disodium salt",,C32H23N5O7S2.2Na,,,,
10084,6264-40-0,"1,3,4-Thiadiazole-2(3H)-thione, 5-(methylthio)-",,C3H4N2S3,,,,
10085,6268-14-0,"Guanidine, N-(2-methylphenyl)-N'-phenyl-",,C14H15N3,,,,
10086,6270-03-7,"1,2-Ethanediol, 1-phenyl-, diacetate",,C12H14O4,,,,
10087,6270-04-8,"1,3-Propanediol, 1-phenyl-, diacetate",,C13H16O4,,,,
10088,6270-55-9,"Propanoic acid, 2-methyl-, 2-furanylmethyl ester",,C9H12O3,,,,
10089,6270-56-0,"Furan, 2-(ethoxymethyl)-",,C7H10O2,,,,
10090,6914-90-5,"Sulfuric acid, mono(1-methylethyl) ester",,C3H8O4S,,,,
